dataset,seed,corruption,severity,alpha,method,backbone,epochs,n_train,n_calib,n_aug_calib,n_test,n_classes,coverage,avg_set_size,singleton_rate,singleton_accuracy,empty_rate,top1_accuracy,ece
ECG200,0,gap,0.05,0.05,clean_split_cp,fcn,20,65,35,350,100,2,0.97,1.84,0.16,0.8125,0.0,0.36,0.6176185750961304
ECG200,0,gap,0.05,0.05,aug_split_cp,fcn,20,65,35,350,100,2,0.97,1.84,0.16,0.8125,0.0,0.36,0.6176185750961304
ECG200,0,gap,0.05,0.05,fast_cp_mixed_confidence_only,fcn,20,65,35,350,100,2,0.98,1.85,0.15,0.8666666666666667,0.0,0.36,0.6176185750961304
ECG200,0,gap,0.05,0.05,fast_cp_mixed,fcn,20,65,35,350,100,2,0.97,1.84,0.16,0.8125,0.0,0.36,0.6176185750961304
ECG200,0,gap,0.1,0.05,clean_split_cp,fcn,20,65,35,350,100,2,0.96,1.82,0.18,0.7777777777777778,0.0,0.36,0.6188541197776795
ECG200,0,gap,0.1,0.05,aug_split_cp,fcn,20,65,35,350,100,2,0.95,1.81,0.19,0.7368421052631579,0.0,0.36,0.6188541197776795
ECG200,0,gap,0.1,0.05,fast_cp_mixed_confidence_only,fcn,20,65,35,350,100,2,0.96,1.83,0.17,0.7647058823529411,0.0,0.36,0.6188541197776795
ECG200,0,gap,0.1,0.05,fast_cp_mixed,fcn,20,65,35,350,100,2,0.95,1.81,0.19,0.7368421052631579,0.0,0.36,0.6188541197776795
ECG200,0,gap,0.2,0.05,clean_split_cp,fcn,20,65,35,350,100,2,0.92,1.73,0.27,0.7037037037037037,0.0,0.36,0.6196985387802124
ECG200,0,gap,0.2,0.05,aug_split_cp,fcn,20,65,35,350,100,2,0.92,1.73,0.27,0.7037037037037037,0.0,0.36,0.6196985387802124
ECG200,0,gap,0.2,0.05,fast_cp_mixed_confidence_only,fcn,20,65,35,350,100,2,0.92,1.73,0.27,0.7037037037037037,0.0,0.36,0.6196985387802124
ECG200,0,gap,0.2,0.05,fast_cp_mixed,fcn,20,65,35,350,100,2,0.92,1.73,0.27,0.7037037037037037,0.0,0.36,0.6196985387802124
ECG200,0,noise,0.05,0.05,clean_split_cp,fcn,20,65,35,350,100,2,0.97,1.85,0.15,0.8,0.0,0.36,0.6173011207580567
ECG200,0,noise,0.05,0.05,aug_split_cp,fcn,20,65,35,350,100,2,0.97,1.85,0.15,0.8,0.0,0.36,0.6173011207580567
ECG200,0,noise,0.05,0.05,fast_cp_mixed_confidence_only,fcn,20,65,35,350,100,2,0.97,1.86,0.14,0.7857142857142857,0.0,0.36,0.6173011207580567
ECG200,0,noise,0.05,0.05,fast_cp_mixed,fcn,20,65,35,350,100,2,0.97,1.85,0.15,0.8,0.0,0.36,0.6173011207580567
ECG200,0,noise,0.1,0.05,clean_split_cp,fcn,20,65,35,350,100,2,0.98,1.86,0.14,0.8571428571428571,0.0,0.36,0.6164330983161926
ECG200,0,noise,0.1,0.05,aug_split_cp,fcn,20,65,35,350,100,2,0.98,1.86,0.14,0.8571428571428571,0.0,0.36,0.6164330983161926
ECG200,0,noise,0.1,0.05,fast_cp_mixed_confidence_only,fcn,20,65,35,350,100,2,0.98,1.86,0.14,0.8571428571428571,0.0,0.36,0.6164330983161926
ECG200,0,noise,0.1,0.05,fast_cp_mixed,fcn,20,65,35,350,100,2,0.98,1.86,0.14,0.8571428571428571,0.0,0.36,0.6164330983161926
ECG200,0,noise,0.2,0.05,clean_split_cp,fcn,20,65,35,350,100,2,1.0,1.93,0.07,1.0,0.0,0.36,0.6146658802032471
ECG200,0,noise,0.2,0.05,aug_split_cp,fcn,20,65,35,350,100,2,1.0,1.93,0.07,1.0,0.0,0.36,0.6146658802032471
ECG200,0,noise,0.2,0.05,fast_cp_mixed_confidence_only,fcn,20,65,35,350,100,2,1.0,1.93,0.07,1.0,0.0,0.36,0.6146658802032471
ECG200,0,noise,0.2,0.05,fast_cp_mixed,fcn,20,65,35,350,100,2,1.0,1.93,0.07,1.0,0.0,0.36,0.6146658802032471
