method,alpha,corruption,coverage,avg_set_size,abs_gap,n_cells
aug_split_cp,0.05,drift,0.9544439270286486,2.3947691881580924,0.042503090087811696,48
clean_split_cp,0.05,drift,0.9529908693488598,2.384450318251583,0.043946857804848305,48
fast_cp_mixed,0.05,drift,0.9518611937188745,2.3809096717155254,0.04053273051541131,48
fast_cp_mixed_confidence_only,0.05,drift,0.9534746773157764,2.3817135129659377,0.04230494427104342,48
aug_split_cp,0.05,gap,0.9431268809907681,2.378494060355979,0.04763589238753466,48
clean_split_cp,0.05,gap,0.94039740067569,2.3581590579142047,0.049847422026221666,48
fast_cp_mixed,0.05,gap,0.9426369848175775,2.364593567569622,0.04785676645317547,48
fast_cp_mixed_confidence_only,0.05,gap,0.9392852393557591,2.370271216023441,0.04628074101962818,48
aug_split_cp,0.05,noise,0.969079512006869,2.4397012814658665,0.046314360491717575,48
clean_split_cp,0.05,noise,0.9698799320151279,2.434286875780975,0.046003669388865354,48
fast_cp_mixed,0.05,noise,0.9679211127731454,2.4258546024214422,0.045155961257993954,48
fast_cp_mixed_confidence_only,0.05,noise,0.9651568855969977,2.421738757170434,0.04556092600103818,48
