dataset,seed,corruption,severity,alpha,method,backbone,epochs,n_train,n_calib,n_aug_calib,n_test,n_classes,coverage,avg_set_size,singleton_rate,singleton_accuracy,empty_rate,top1_accuracy,ece
ECG200,0,gap,0.05,0.05,clean_split_cp,fcn,3,65,35,350,100,2,0.98,1.85,0.15,0.8666666666666667,0.0,0.36,0.299638951420784
ECG200,0,gap,0.05,0.05,aug_split_cp,fcn,3,65,35,350,100,2,0.95,1.82,0.18,0.7222222222222222,0.0,0.36,0.299638951420784
ECG200,0,gap,0.05,0.05,fast_cp_mixed_confidence_only,fcn,3,65,35,350,100,2,0.98,1.85,0.15,0.8666666666666667,0.0,0.36,0.299638951420784
ECG200,0,gap,0.05,0.05,fast_cp_mixed,fcn,3,65,35,350,100,2,0.95,1.82,0.18,0.7222222222222222,0.0,0.36,0.299638951420784
ECG200,0,gap,0.1,0.05,clean_split_cp,fcn,3,65,35,350,100,2,0.97,1.86,0.14,0.7857142857142857,0.0,0.36,0.25311038672924047
ECG200,0,gap,0.1,0.05,aug_split_cp,fcn,3,65,35,350,100,2,0.95,1.84,0.16,0.6875,0.0,0.36,0.25311038672924047
ECG200,0,gap,0.1,0.05,fast_cp_mixed_confidence_only,fcn,3,65,35,350,100,2,0.97,1.86,0.14,0.7857142857142857,0.0,0.36,0.25311038672924047
ECG200,0,gap,0.1,0.05,fast_cp_mixed,fcn,3,65,35,350,100,2,0.95,1.84,0.16,0.6875,0.0,0.36,0.25311038672924047
ECG200,0,gap,0.2,0.05,clean_split_cp,fcn,3,65,35,350,100,2,0.95,1.8,0.2,0.75,0.0,0.37,0.2388415312767029
ECG200,0,gap,0.2,0.05,aug_split_cp,fcn,3,65,35,350,100,2,0.94,1.79,0.21,0.7142857142857143,0.0,0.37,0.2388415312767029
ECG200,0,gap,0.2,0.05,fast_cp_mixed_confidence_only,fcn,3,65,35,350,100,2,0.95,1.8,0.2,0.75,0.0,0.37,0.2388415312767029
ECG200,0,gap,0.2,0.05,fast_cp_mixed,fcn,3,65,35,350,100,2,0.95,1.79,0.21,0.7619047619047619,0.0,0.37,0.2388415312767029
ECG200,0,noise,0.05,0.05,clean_split_cp,fcn,3,65,35,350,100,2,0.97,1.86,0.14,0.7857142857142857,0.0,0.36,0.31479032218456265
ECG200,0,noise,0.05,0.05,aug_split_cp,fcn,3,65,35,350,100,2,0.95,1.83,0.17,0.7058823529411765,0.0,0.36,0.31479032218456265
ECG200,0,noise,0.05,0.05,fast_cp_mixed_confidence_only,fcn,3,65,35,350,100,2,0.97,1.86,0.14,0.7857142857142857,0.0,0.36,0.31479032218456265
ECG200,0,noise,0.05,0.05,fast_cp_mixed,fcn,3,65,35,350,100,2,0.95,1.83,0.17,0.7058823529411765,0.0,0.36,0.31479032218456265
ECG200,0,noise,0.1,0.05,clean_split_cp,fcn,3,65,35,350,100,2,0.97,1.89,0.11,0.7272727272727273,0.0,0.37,0.27648458480834964
ECG200,0,noise,0.1,0.05,aug_split_cp,fcn,3,65,35,350,100,2,0.96,1.86,0.14,0.7142857142857143,0.0,0.37,0.27648458480834964
ECG200,0,noise,0.1,0.05,fast_cp_mixed_confidence_only,fcn,3,65,35,350,100,2,0.97,1.89,0.11,0.7272727272727273,0.0,0.37,0.27648458480834964
ECG200,0,noise,0.1,0.05,fast_cp_mixed,fcn,3,65,35,350,100,2,0.96,1.86,0.14,0.7142857142857143,0.0,0.37,0.27648458480834964
ECG200,0,noise,0.2,0.05,clean_split_cp,fcn,3,65,35,350,100,2,1.0,1.95,0.05,1.0,0.0,0.38,0.22895653843879704
ECG200,0,noise,0.2,0.05,aug_split_cp,fcn,3,65,35,350,100,2,0.99,1.93,0.07,0.8571428571428571,0.0,0.38,0.22895653843879704
ECG200,0,noise,0.2,0.05,fast_cp_mixed_confidence_only,fcn,3,65,35,350,100,2,1.0,1.95,0.05,1.0,0.0,0.38,0.22895653843879704
ECG200,0,noise,0.2,0.05,fast_cp_mixed,fcn,3,65,35,350,100,2,0.99,1.93,0.07,0.8571428571428571,0.0,0.38,0.22895653843879704
ECG200,0,drift,0.1,0.05,clean_split_cp,fcn,3,65,35,350,100,2,0.97,1.87,0.13,0.7692307692307693,0.0,0.36,0.2743736690282821
