method,alpha,corruption,coverage,avg_set_size,abs_gap,n_cells
aug_split_cp,0.05,drift,0.9644444444444443,1.896111111111111,0.0177777777777778,6
clean_split_cp,0.05,drift,0.9722222222222222,1.9105555555555556,0.022222222222222237,6
fast_cp_mixed,0.05,drift,0.9644444444444443,1.885,0.0177777777777778,6
fast_cp_mixed_confidence_only,0.05,drift,0.9727777777777779,1.9111111111111112,0.022777777777777803,6
aug_split_cp,0.05,gap,0.9622222222222222,1.8972222222222221,0.015555555555555581,6
clean_split_cp,0.05,gap,0.9733333333333333,1.9083333333333332,0.023333333333333373,6
fast_cp_mixed,0.05,gap,0.9638888888888889,1.8816666666666668,0.013888888888888914,6
fast_cp_mixed_confidence_only,0.05,gap,0.9722222222222222,1.9072222222222222,0.022222222222222254,6
aug_split_cp,0.05,noise,0.9744444444444444,1.9211111111111112,0.024444444444444473,6
clean_split_cp,0.05,noise,0.9811111111111112,1.9377777777777778,0.031111111111111145,6
fast_cp_mixed,0.05,noise,0.9744444444444444,1.9066666666666665,0.024444444444444473,6
fast_cp_mixed_confidence_only,0.05,noise,0.9811111111111112,1.9366666666666668,0.031111111111111145,6
