lambda,method,alpha,corruption,coverage,avg_set_size,abs_coverage_gap,pareto
0.0,fast_cp_mixed_0,0.05,drift,0.9443521903346663,2.8557580451244653,0.03701375164221297,True
0.1,fast_cp_mixed_0.1,0.05,drift,0.9447527594508439,2.863495336409655,0.03698284999430386,True
0.2,fast_cp_mixed_0.2,0.05,drift,0.945049334277588,2.871662983550039,0.03713604701687726,False
0.35,fast_cp_mixed_0.35,0.05,drift,0.9463261171459935,2.886443833188591,0.03698646788759488,False
0.5,fast_cp_mixed_0.5,0.05,drift,0.9471816335987187,2.903733729469089,0.036677110977066094,True
0.65,fast_cp_mixed_0.65,0.05,drift,0.9477415852174174,2.9228162269798195,0.03667950049974124,False
0.8,fast_cp_mixed_0.8,0.05,drift,0.9494802617452517,2.949464045870998,0.03661207454805864,True
1.0,fast_cp_mixed_1,0.05,drift,0.9520047272429288,3.020353835196766,0.03690855668184839,False
0.0,fast_cp_mixed_0,0.05,gap,0.9314129720213431,2.8985086167888547,0.05021170389117282,True
0.1,fast_cp_mixed_0.1,0.05,gap,0.9311513004760756,2.8984341001581684,0.05082682715165087,True
0.2,fast_cp_mixed_0.2,0.05,gap,0.9309869389638166,2.9029895126486207,0.051247645755810076,False
0.35,fast_cp_mixed_0.35,0.05,gap,0.9308716819888788,2.909894884354052,0.05261367040345635,False
0.5,fast_cp_mixed_0.5,0.05,gap,0.9307676299764424,2.9196834533869898,0.05327462704719243,False
0.65,fast_cp_mixed_0.65,0.05,gap,0.9309275212341389,2.933066868308093,0.05376423796794199,False
0.8,fast_cp_mixed_0.8,0.05,gap,0.9317631284141561,2.9542806083116635,0.05397458247141456,False
1.0,fast_cp_mixed_1,0.05,gap,0.933240288603679,3.0162637216314687,0.05498538274566057,False
0.0,fast_cp_mixed_0,0.05,noise,0.9366311977419239,2.8348379417518474,0.04056721688513622,True
0.1,fast_cp_mixed_0.1,0.05,noise,0.924862392479123,2.795598924372805,0.05278355377171004,True
0.2,fast_cp_mixed_0.2,0.05,noise,0.9239444998124475,2.7991012266436806,0.053913197349909285,False
0.35,fast_cp_mixed_0.35,0.05,noise,0.9242641472353267,2.80686837028403,0.05404690643517073,False
0.5,fast_cp_mixed_0.5,0.05,noise,0.9247754294017191,2.8174082476755515,0.054444297789590736,False
0.65,fast_cp_mixed_0.65,0.05,noise,0.9259439461813097,2.831141411077614,0.05442945591745021,False
0.8,fast_cp_mixed_0.8,0.05,noise,0.9266354474865728,2.846743556552518,0.05545374633966338,False
1.0,fast_cp_mixed_1,0.05,noise,0.9285077382355952,2.8886610299006104,0.056377522567168756,False
0.0,fast_cp_mixed_0,0.1,drift,0.8920943138429447,2.259906393314587,0.055032252491207474,True
0.1,fast_cp_mixed_0.1,0.1,drift,0.8921877431622248,2.2673444227256017,0.054958617706133736,True
0.2,fast_cp_mixed_0.2,0.1,drift,0.8922552417299223,2.27685960521829,0.05552683265269216,False
0.35,fast_cp_mixed_0.35,0.1,drift,0.8929795497989605,2.2932094159335645,0.05579216821710782,False
0.5,fast_cp_mixed_0.5,0.1,drift,0.8931516389430684,2.3114061614516084,0.0562705930008846,False
0.65,fast_cp_mixed_0.65,0.1,drift,0.8938596024932225,2.3371893356887763,0.0570442661713189,False
0.8,fast_cp_mixed_0.8,0.1,drift,0.8944034543603645,2.3694127198650343,0.05818588477912115,False
1.0,fast_cp_mixed_1,0.1,drift,0.8961723558370616,2.457128134992888,0.05924363870454708,False
0.0,fast_cp_mixed_0,0.1,gap,0.8776791171580274,2.241063763450367,0.07275220893336867,True
0.1,fast_cp_mixed_0.1,0.1,gap,0.8772994559469829,2.246826024879992,0.07356458442678328,False
0.2,fast_cp_mixed_0.2,0.1,gap,0.8772186667616091,2.2544146565608862,0.07389996160676962,False
0.35,fast_cp_mixed_0.35,0.1,gap,0.877006387999409,2.2678777161124515,0.07506598663765396,False
0.5,fast_cp_mixed_0.5,0.1,gap,0.8773171538938567,2.286752525478877,0.07648004740470501,False
