method,alpha,corruption,coverage,coverage_gap,abs_coverage_gap,avg_set_size,singleton_rate,top1_accuracy,ece
raps_aug_cp,0.05,drift,0.975279897240761,-0.025279897240760994,0.031715929794202416,3.1584095538339803,0.09093220834246475,0.666998975971582,0.1978497821758098
confidence_weighted_cp,0.05,drift,0.9587785777926535,-0.008778577792653508,0.032634664269394965,3.080541718650756,0.25160917851026227,0.666998975971582,0.1978497821758098
aps_aug_cp,0.05,drift,0.9779240236197051,-0.02792402361970519,0.03401515730733008,3.848322338729896,0.03165286188295633,0.666998975971582,0.1978497821758098
mondrian_corruption_cp,0.05,drift,0.9449606016200297,0.005039398379970274,0.03467284284874281,2.7592973346260425,0.3091403956598657,0.666998975971582,0.1978497821758098
fast_cp_mixed_0.8,0.05,drift,0.9494802617452517,0.0005197382547483476,0.03661207454805864,2.949464045870998,0.29906446502930795,0.666998975971582,0.1978497821758098
fast_cp_mixed_0.5,0.05,drift,0.9471816335987187,0.0028183664012813112,0.036677110977066094,2.903733729469089,0.31079757678151554,0.666998975971582,0.1978497821758098
fast_cp_mixed_0.65,0.05,drift,0.9477415852174174,0.002258414782582536,0.03667950049974124,2.9228162269798195,0.30582468706190397,0.666998975971582,0.1978497821758098
aug_split_cp,0.05,drift,0.9520047272429288,-0.0020047272429289968,0.0369085566818484,3.020353835196766,0.28379727764800394,0.666998975971582,0.1978497821758098
fast_cp_mixed_1,0.05,drift,0.9520047272429288,-0.0020047272429289968,0.0369085566818484,3.020353835196766,0.28379727764800394,0.666998975971582,0.1978497821758098
label_smooth_aug_cp,0.05,drift,0.9520047272429288,-0.0020047272429289968,0.0369085566818484,3.020353835196766,0.28379727764800394,0.666998975971582,0.1978497821758098
fast_cp_mixed_0.1,0.05,drift,0.9447527594508439,0.005247240549156056,0.03698284999430385,2.863495336409655,0.3227116500611643,0.666998975971582,0.1978497821758098
fast_cp_mixed_0.35,0.05,drift,0.9463261171459935,0.0036738828540064604,0.03698646788759488,2.886443833188591,0.31561463977743964,0.666998975971582,0.1978497821758098
fast_cp,0.05,drift,0.9443521903346663,0.005647809665333569,0.03701375164221297,2.8557580451244653,0.3251412669894219,0.666998975971582,0.1978497821758098
fast_cp_mixed_0,0.05,drift,0.9443521903346663,0.005647809665333569,0.03701375164221297,2.8557580451244653,0.3251412669894219,0.666998975971582,0.1978497821758098
fast_cp_mixed_0.2,0.05,drift,0.945049334277588,0.004950665722412011,0.03713604701687726,2.871662983550039,0.3201692491695078,0.666998975971582,0.1978497821758098
clean_split_cp,0.05,drift,0.898059832561689,0.05194016743831098,0.06889691310284062,2.240463635950422,0.3827390801160516,0.666998975971582,0.1978497821758098
mondrian_corruption_cp,0.05,gap,0.9467409844870283,0.0032590155129717403,0.04131014180012494,3.249124080591017,0.2380264438934987,0.6839271094901237,0.18565453161270748
aps_aug_cp,0.05,gap,0.9618787496054703,-0.01187874960547029,0.043170072717306204,3.7774361559867633,0.03975896810242288,0.6839271094901237,0.18565453161270748
confidence_weighted_cp,0.05,gap,0.9426956809475344,0.007304319052465571,0.04486949488572467,3.109656965633887,0.2444095919151273,0.6839271094901237,0.18565453161270748
raps_aug_cp,0.05,gap,0.956200270914171,-0.006200270914171091,0.04607256151655614,3.1696484490668024,0.08581897874205566,0.6839271094901237,0.18565453161270748
fast_cp,0.05,gap,0.9314129720213431,0.018587027978656787,0.05021170389117282,2.8985086167888547,0.3250615836659611,0.6839271094901237,0.18565453161270748
fast_cp_mixed_0,0.05,gap,0.9314129720213431,0.018587027978656787,0.05021170389117282,2.8985086167888547,0.3250615836659611,0.6839271094901237,0.18565453161270748
fast_cp_mixed_0.1,0.05,gap,0.9311513004760756,0.0188486995239243,0.050826827151650864,2.8984341001581684,0.32330582927811735,0.6839271094901237,0.18565453161270748
fast_cp_mixed_0.2,0.05,gap,0.9309869389638166,0.019013061036183377,0.05124764575581006,2.9029895126486207,0.3209516715482994,0.6839271094901237,0.18565453161270748
fast_cp_mixed_0.35,0.05,gap,0.9308716819888788,0.019128318011121057,0.052613670403456346,2.909894884354052,0.31655747610100726,0.6839271094901237,0.18565453161270748
fast_cp_mixed_0.5,0.05,gap,0.9307676299764424,0.019232370023557634,0.053274627047192415,2.9196834533869898,0.31191354690366796,0.6839271094901237,0.18565453161270748
fast_cp_mixed_0.65,0.05,gap,0.9309275212341389,0.019072478765861083,0.05376423796794198,2.933066868308093,0.3054126560412015,0.6839271094901237,0.18565453161270748
fast_cp_mixed_0.8,0.05,gap,0.9317631284141561,0.01823687158584378,0.05397458247141456,2.9542806083116635,0.29673267692361927,0.6839271094901237,0.18565453161270748
aug_split_cp,0.05,gap,0.933240288603679,0.016759711396320882,0.05498538274566057,3.0162637216314687,0.27570830127240303,0.6839271094901237,0.18565453161270748
fast_cp_mixed_1,0.05,gap,0.933240288603679,0.016759711396320882,0.05498538274566057,3.0162637216314687,0.27570830127240303,0.6839271094901237,0.18565453161270748
label_smooth_aug_cp,0.05,gap,0.933240288603679,0.016759711396320882,0.05498538274566057,3.0162637216314687,0.27570830127240303,0.6839271094901237,0.18565453161270748
clean_split_cp,0.05,gap,0.8945033198220415,0.05549668017795852,0.07407882297957775,2.198730622743327,0.39478705828141797,0.6839271094901237,0.18565453161270748
fast_cp,0.05,noise,0.9366311977419239,0.013368802258076122,0.04056721688513622,2.8348379417518474,0.3131946261950254,0.6350761332019771,0.23541815789627435
