dataset,alpha,n,set_size_win_rate,coverage_close_rate,abs_gap_win_rate,avg_set_size_candidate,avg_set_size_baseline,avg_coverage_candidate,avg_coverage_baseline
__OVERALL__,0.05,270,0.6333333333333333,0.6925925925925925,0.8777777777777778,1.659626412785511,1.7305170887965706,0.9457635140376607,0.9486813765096854
FaceFour,0.05,27,0.9629629629629629,0.5925925925925926,0.9259259259259259,2.0690235690235688,2.156144781144781,0.9473905723905723,0.9532828282828283
TwoLeadECG,0.05,27,0.9629629629629629,0.8888888888888888,0.7407407407407407,1.0698468442103208,1.1048353006210776,0.9518095795532142,0.9592234903911814
Beef,0.05,27,0.9259259259259259,0.7407407407407407,0.9259259259259259,3.0234567901234572,3.224691358024691,0.9160493827160494,0.9271604938271606
Lightning7,0.05,27,0.9259259259259259,0.7777777777777778,0.9259259259259259,2.834094368340944,2.871638762049721,0.9360730593607306,0.9401319127346525
Coffee,0.05,27,0.8148148148148148,0.8148148148148148,0.8518518518518519,1.2010582010582012,1.486772486772487,0.955026455026455,0.9722222222222222
GunPoint,0.05,27,0.5185185185185185,0.9629629629629629,1.0,1.2311111111111113,1.3007407407407408,0.9439506172839507,0.9454320987654321
Lightning2,0.05,27,0.5185185185185185,0.6296296296296297,0.9629629629629629,1.8488160291438982,1.8870673952641166,0.9568913175470554,0.9635701275045538
ItalyPowerDemand,0.05,27,0.3333333333333333,0.18518518518518517,0.9259259259259259,0.9948889608753554,0.9673541374221647,0.942842745563834,0.9209228665010978
ECG200,0.05,27,0.3333333333333333,0.48148148148148145,0.5925925925925926,1.2774074074074075,1.2762962962962963,0.9411111111111111,0.942962962962963
Plane,0.05,27,0.037037037037037035,0.8518518518518519,0.9259259259259259,1.0465608465608465,1.0296296296296297,0.9664902998236331,0.9619047619047619
