method,alpha,corruption,coverage,coverage_gap,abs_coverage_gap,avg_set_size,singleton_rate,top1_accuracy,ece
fast_cp_mixed,0.05,drift,0.9673394676781393,-0.017339467678139316,0.024117147904458694,1.7681497844665153,0.5783965255121402,0.8249674054668704,0.11136115260263078
fast_cp,0.05,drift,0.9528247098415916,-0.0028247098415916474,0.029938580936769068,1.7368559263958214,0.5833938909598111,0.8249674054668704,0.11136115260263078
aug_split_cp,0.05,drift,0.9739510898506523,-0.023951089850652318,0.0300849304515693,1.8642567613858099,0.5134193144409509,0.8249674054668704,0.11136115260263078
label_smooth_aug_cp,0.05,drift,0.9739510898506523,-0.023951089850652318,0.0300849304515693,1.8642567613858099,0.5134193144409509,0.8249674054668704,0.11136115260263078
confidence_weighted_cp,0.05,drift,0.9548639033033347,-0.004863903303334801,0.03623719627885672,1.7827165868427477,0.47989973371738054,0.8249674054668704,0.11136115260263078
clean_split_cp,0.05,drift,0.930057121666441,0.019942878333558945,0.05413215145960028,1.646021042317083,0.5073550313455315,0.8249674054668704,0.11136115260263078
fast_cp_mixed,0.05,gap,0.9547133684695264,-0.004713368469526395,0.03414924193372761,1.794446663628796,0.5681529809256993,0.7969413201972785,0.13031073754576405
aug_split_cp,0.05,gap,0.9599326308615542,-0.00993263086155429,0.03495786031109076,1.8624127326806783,0.5188239492066884,0.7969413201972785,0.13031073754576405
label_smooth_aug_cp,0.05,gap,0.9599326308615542,-0.00993263086155429,0.03495786031109076,1.8624127326806783,0.5188239492066884,0.7969413201972785,0.13031073754576405
fast_cp,0.05,gap,0.9481635505001883,0.001836449499811658,0.03666644101394924,1.7780441129022582,0.5628997046413637,0.7969413201972785,0.13031073754576405
confidence_weighted_cp,0.05,gap,0.9432700917826862,0.00672990821731384,0.04612919507424824,1.7905093278451145,0.4785488857860652,0.7969413201972785,0.13031073754576405
clean_split_cp,0.05,gap,0.9194735252021905,0.030526474797809486,0.06402795449974112,1.6606727878726062,0.5012491818161201,0.7969413201972785,0.13031073754576405
fast_cp,0.05,noise,0.9528292602675509,-0.0028292602675509112,0.031428547601532096,1.7920569422848975,0.5466253315497387,0.7893104177060053,0.14139953077547415
fast_cp_mixed,0.05,noise,0.9580221886955196,-0.008022188695519657,0.03202218869551965,1.8011883169859337,0.5555169117461332,0.7893104177060053,0.14139953077547415
aug_split_cp,0.05,noise,0.9654565205594742,-0.015456520559474218,0.03612318722614088,1.8810984198316854,0.5098701701780004,0.7893104177060053,0.14139953077547415
label_smooth_aug_cp,0.05,noise,0.9654565205594742,-0.015456520559474218,0.03612318722614088,1.8810984198316854,0.5098701701780004,0.7893104177060053,0.14139953077547415
confidence_weighted_cp,0.05,noise,0.9438939971330977,0.006106002866902205,0.045754379381235125,1.7958950375225926,0.473761769575506,0.7893104177060053,0.14139953077547415
clean_split_cp,0.05,noise,0.9073493029003702,0.04265069709962968,0.07908789324552491,1.6522416934303905,0.4743020667724014,0.7893104177060053,0.14139953077547415
