dataset,seed,corruption,severity,alpha,method,n_train,n_calib,n_aug_calib,n_test,n_classes,coverage,avg_set_size,singleton_rate,singleton_accuracy,empty_rate,top1_accuracy,ece
BME,0,gap,0.05,0.05,clean_split_cp,19,11,110,150,3,0.9866666666666667,1.02,0.98,0.9863945578231292,0.0,0.98,0.3252944557045748
BME,0,gap,0.05,0.05,aug_split_cp,19,11,110,150,3,1.0,2.993333333333333,0.0,0.0,0.0,0.98,0.3252944557045748
BME,0,gap,0.05,0.05,aps_aug_cp,19,11,110,150,3,1.0,2.933333333333333,0.0,0.0,0.0,0.98,0.3252944557045748
BME,0,gap,0.05,0.05,raps_aug_cp,19,11,110,150,3,1.0,2.933333333333333,0.0,0.0,0.0,0.98,0.3252944557045748
BME,0,gap,0.05,0.05,mondrian_corruption_cp,19,11,110,150,3,1.0,2.22,0.013333333333333334,1.0,0.0,0.98,0.3252944557045748
BME,0,gap,0.05,0.05,label_smooth_aug_cp,19,11,110,150,3,1.0,2.993333333333333,0.0,0.0,0.0,0.98,0.3252944557045748
BME,0,gap,0.05,0.05,confidence_weighted_cp,19,11,110,150,3,1.0,2.986666666666667,0.0,0.0,0.0,0.98,0.3252944557045748
BME,0,gap,0.05,0.05,fast_cp,19,11,110,150,3,1.0,2.966666666666667,0.0,0.0,0.0,0.98,0.3252944557045748
BME,0,gap,0.05,0.05,fast_cp_mixed_0.35,19,11,110,150,3,1.0,2.98,0.0,0.0,0.0,0.98,0.3252944557045748
BME,0,gap,0.05,0.05,fast_cp_mixed_1,19,11,110,150,3,1.0,2.993333333333333,0.0,0.0,0.0,0.98,0.3252944557045748
BME,0,gap,0.05,0.1,clean_split_cp,19,11,110,150,3,0.9866666666666667,1.02,0.98,0.9863945578231292,0.0,0.98,0.3252944557045748
BME,0,gap,0.05,0.1,aug_split_cp,19,11,110,150,3,1.0,2.6133333333333333,0.0,0.0,0.0,0.98,0.3252944557045748
BME,0,gap,0.05,0.1,aps_aug_cp,19,11,110,150,3,1.0,2.933333333333333,0.0,0.0,0.0,0.98,0.3252944557045748
BME,0,gap,0.05,0.1,raps_aug_cp,19,11,110,150,3,1.0,2.933333333333333,0.0,0.0,0.0,0.98,0.3252944557045748
BME,0,gap,0.05,0.1,mondrian_corruption_cp,19,11,110,150,3,1.0,1.8533333333333333,0.21333333333333335,1.0,0.0,0.98,0.3252944557045748
BME,0,gap,0.05,0.1,label_smooth_aug_cp,19,11,110,150,3,1.0,2.6133333333333333,0.0,0.0,0.0,0.98,0.3252944557045748
BME,0,gap,0.05,0.1,confidence_weighted_cp,19,11,110,150,3,1.0,2.6133333333333333,0.0,0.0,0.0,0.98,0.3252944557045748
BME,0,gap,0.05,0.1,fast_cp,19,11,110,150,3,1.0,2.2866666666666666,0.013333333333333334,1.0,0.0,0.98,0.3252944557045748
BME,0,gap,0.05,0.1,fast_cp_mixed_0.35,19,11,110,150,3,1.0,2.38,0.0,0.0,0.0,0.98,0.3252944557045748
BME,0,gap,0.05,0.1,fast_cp_mixed_1,19,11,110,150,3,1.0,2.6133333333333333,0.0,0.0,0.0,0.98,0.3252944557045748
BME,0,gap,0.1,0.05,clean_split_cp,19,11,110,150,3,0.9466666666666667,1.1066666666666667,0.8933333333333333,0.9402985074626866,0.0,0.9,0.2724997667208239
BME,0,gap,0.1,0.05,aug_split_cp,19,11,110,150,3,1.0,2.973333333333333,0.0,0.0,0.0,0.9,0.2724997667208239
BME,0,gap,0.1,0.05,aps_aug_cp,19,11,110,150,3,1.0,2.9266666666666667,0.0,0.0,0.0,0.9,0.2724997667208239
BME,0,gap,0.1,0.05,raps_aug_cp,19,11,110,150,3,1.0,2.9266666666666667,0.0,0.0,0.0,0.9,0.2724997667208239
BME,0,gap,0.1,0.05,mondrian_corruption_cp,19,11,110,150,3,0.9933333333333333,2.2,0.04666666666666667,0.8571428571428571,0.0,0.9,0.2724997667208239
BME,0,gap,0.1,0.05,label_smooth_aug_cp,19,11,110,150,3,1.0,2.973333333333333,0.0,0.0,0.0,0.9,0.2724997667208239
BME,0,gap,0.1,0.05,confidence_weighted_cp,19,11,110,150,3,1.0,2.8933333333333335,0.0,0.0,0.0,0.9,0.2724997667208239
BME,0,gap,0.1,0.05,fast_cp,19,11,110,150,3,1.0,2.8733333333333335,0.0,0.0,0.0,0.9,0.2724997667208239
