alpha,corruption,metric,n_pairs,mean,median,ci95_low,ci95_high,wilcoxon_p,ttest_p,positive_rate
0.05,drift,set_size_reduction,135,0.11953605141557101,0.04999999999999982,0.08965486686427217,0.1546084652649378,1.7936053648846178e-17,8.173765486194359e-11,0.762962962962963
0.05,drift,coverage_delta,135,-0.005183136554331259,0.0,-0.008434753099897992,-0.002518385560054791,0.00026767438821298755,0.0007159339353973164,0.08148148148148149
0.05,drift,abs_gap_delta,135,-0.0007196134999033504,0.0,-0.0027134694787001477,0.0013458663027983192,0.13962633647052247,0.4839086638369823,0.1037037037037037
0.05,gap,set_size_reduction,135,0.09210003158377202,0.03571428571428559,0.06806339897735082,0.1197846766243415,2.975220903384615e-17,2.7454519923240055e-10,0.7925925925925926
0.05,gap,coverage_delta,135,-0.007162730597604204,0.0,-0.01099636816180363,-0.0038178736917169995,1.4224064750621058e-05,0.00013883577708432277,0.08888888888888889
0.05,gap,abs_gap_delta,135,0.0010481664455476833,0.0,-0.0021079863393293516,0.00450726183712207,0.6299252510488079,0.5406551398991712,0.14814814814814814
0.05,noise,set_size_reduction,135,0.0712685435408225,0.01757188498402562,0.042548305755663055,0.10477635163199576,1.2502502065541886e-07,2.441582778760101e-05,0.6370370370370371
0.05,noise,coverage_delta,135,-0.004174504560844847,0.0,-0.011148253575339391,0.002811505518111316,0.06698076186747028,0.23905911078851436,0.18518518518518517
0.05,noise,abs_gap_delta,135,-0.004964970997956183,0.0,-0.010430299525626109,0.00045834605340796695,0.03115725231139888,0.07380395987227575,0.17777777777777778
0.05,__overall__,set_size_reduction,405,0.09430154218005518,0.0311501597444086,0.07695977631469028,0.11212738258486735,4.71769789483263e-38,1.2818639979159959e-22,0.7308641975308642
0.05,__overall__,coverage_delta,405,-0.00550679057092677,0.0,-0.008270056778762056,-0.0027385058867302903,5.1161656664067135e-08,0.00011429116274599402,0.11851851851851852
0.05,__overall__,abs_gap_delta,405,-0.0015454726841039501,0.0,-0.0037839925867403285,0.0006311970567834437,0.014302265518681748,0.17505571814792448,0.14320987654320988
0.1,drift,set_size_reduction,135,0.09140146046694275,0.020000000000000462,0.06710104892442684,0.11632751819121867,1.2396814510721148e-11,6.577676112768501e-11,0.6518518518518519
0.1,drift,coverage_delta,135,-0.00948804066622983,0.0,-0.015869437638470204,-0.004036629857274081,0.0034591797775724484,0.0027369539840768225,0.15555555555555556
0.1,drift,abs_gap_delta,135,-0.003247866818913125,0.0,-0.008054150281207484,0.002086417810868507,0.0043468528054627625,0.1942413857839175,0.14814814814814814
0.1,gap,set_size_reduction,135,0.07340715472739498,0.03125,0.052936529081834875,0.09387465243855722,3.2631512557663786e-10,1.1896186602797277e-10,0.6222222222222222
0.1,gap,coverage_delta,135,-0.008033784005215218,0.0,-0.012795138305340226,-0.0036683730247255224,0.002472423227982807,0.0007990200672635021,0.2
0.1,gap,abs_gap_delta,135,-0.005842642748385544,0.0,-0.010393634456515049,-0.0015685084872835236,0.0022025450686064376,0.00981380713837548,0.16296296296296298
0.1,noise,set_size_reduction,135,0.043524319958106635,0.0,0.020073696091495372,0.0688312723098571,0.013035435373185428,0.0008317840551383044,0.4740740740740741
0.1,noise,coverage_delta,135,-0.0025862975843962653,0.0,-0.010084420101481043,0.004721143486937798,0.6596241248302297,0.4984662593207146,0.2962962962962963
0.1,noise,abs_gap_delta,135,-0.008068733125982287,0.0,-0.01465551000449615,-0.0016529075786931836,0.0013693544465296142,0.017120369522989738,0.18518518518518517
0.1,__overall__,set_size_reduction,405,0.06944431171748146,0.010000000000000009,0.05585231241036306,0.08331763812783735,1.1708585813685946e-19,9.16583243414568e-21,0.582716049382716
0.1,__overall__,coverage_delta,405,-0.006702707418613772,0.0,-0.01041450911471777,-0.0030805064795155095,0.0005558575220614332,0.0002559457720377844,0.21728395061728395
0.1,__overall__,abs_gap_delta,405,-0.005719747564426986,0.0,-0.008776583087273701,-0.0026049079282865757,9.947594763854709e-08,0.0003171083456575926,0.1654320987654321
