method,alpha,corruption,coverage,coverage_gap,abs_coverage_gap,avg_set_size,singleton_rate,top1_accuracy,ece
fast_cp_mixed_0.35,0.05,drift,0.9703414830040047,-0.020341483004004794,0.027230176789976863,1.1786405592798597,0.8182496253654269,0.9084127700831577,0.06251354172245238
fast_cp_mixed_0.2,0.05,drift,0.967680390137576,-0.017680390137576052,0.027660350280837295,1.177300880835632,0.8195893038096547,0.9084127700831577,0.06251354172245238
fast_cp_mixed_0.5,0.05,drift,0.973533392319259,-0.023533392319258963,0.030187962605084724,1.1833477220312432,0.8154860972107393,0.9084127700831577,0.06251354172245238
fast_cp_mixed_0.8,0.05,drift,0.9751490492430093,-0.025149049243009293,0.0313353725285424,1.190055141886179,0.8099448581138212,0.9084127700831577,0.06251354172245238
aug_split_cp,0.05,drift,0.9763424937850051,-0.026342493785005194,0.03194350832017247,1.2775600821707505,0.7224399178292498,0.9084127700831577,0.06251354172245238
fast_cp_mixed_1,0.05,drift,0.9763424937850051,-0.026342493785005194,0.03194350832017247,1.2775600821707505,0.7224399178292498,0.9084127700831577,0.06251354172245238
label_smooth_aug_cp,0.05,drift,0.9763424937850051,-0.026342493785005194,0.03194350832017247,1.2775600821707505,0.7224399178292498,0.9084127700831577,0.06251354172245238
fast_cp,0.05,drift,0.9475464659211232,0.0024535340788767106,0.03858659426812659,1.1582328851938786,0.811316839457887,0.9084127700831577,0.06251354172245238
fast_cp_mixed_0,0.05,drift,0.9475464659211232,0.0024535340788767106,0.03858659426812659,1.1582328851938786,0.811316839457887,0.9084127700831577,0.06251354172245238
confidence_weighted_cp,0.05,drift,0.9488793424974823,0.0011206575025176488,0.0456663324889302,1.2835804269113473,0.6628724399496827,0.9084127700831577,0.06251354172245238
clean_split_cp,0.05,drift,0.9136204451930026,0.036379554806997345,0.08047025775484326,1.2123372453458996,0.6428406467064438,0.9084127700831577,0.06251354172245238
fast_cp_mixed_0.8,0.05,gap,0.962489655990328,-0.012489655990327971,0.03456356017886903,1.1835986550981445,0.8164013449018556,0.9028759808116565,0.065024816103935
aug_split_cp,0.05,gap,0.9627823103655108,-0.012782310365510889,0.03462209105390562,1.2565837575968553,0.7434162424031446,0.9028759808116565,0.065024816103935
fast_cp_mixed_1,0.05,gap,0.9627823103655108,-0.012782310365510889,0.03462209105390562,1.2565837575968553,0.7434162424031446,0.9028759808116565,0.065024816103935
label_smooth_aug_cp,0.05,gap,0.9627823103655108,-0.012782310365510889,0.03462209105390562,1.2565837575968553,0.7434162424031446,0.9028759808116565,0.065024816103935
fast_cp_mixed_0.2,0.05,gap,0.9629441564827779,-0.01294415648277795,0.03812565196654357,1.1810783662434412,0.8149047889233874,0.9028759808116565,0.065024816103935
fast_cp_mixed_0.35,0.05,gap,0.9629316425930713,-0.01293164259307138,0.03813816585625014,1.182048701214672,0.8139344539521566,0.9028759808116565,0.065024816103935
fast_cp_mixed_0.5,0.05,gap,0.9638199012369696,-0.013819901236969611,0.03824897066147002,1.183275631219083,0.8152990367433399,0.9028759808116565,0.065024816103935
fast_cp,0.05,gap,0.9524400543444101,-0.0024400543444101697,0.04218895745931636,1.1787692401765255,0.794019875469733,0.9028759808116565,0.065024816103935
fast_cp_mixed_0,0.05,gap,0.9524400543444101,-0.0024400543444101697,0.04218895745931636,1.1787692401765255,0.794019875469733,0.9028759808116565,0.065024816103935
confidence_weighted_cp,0.05,gap,0.9477050726473959,0.0022949273526041035,0.0490033460434636,1.2827597796759072,0.6689085066862567,0.9028759808116565,0.065024816103935
clean_split_cp,0.05,gap,0.906242741588462,0.043757258411537985,0.08783241228261031,1.2144181772211373,0.6397061590805476,0.9028759808116565,0.065024816103935
fast_cp_mixed_0.2,0.05,noise,0.9614358169707116,-0.011435816970711573,0.028959626494521086,1.2050631271698444,0.7906608767174247,0.8747353474438816,0.09775712761049023
fast_cp_mixed_0.35,0.05,noise,0.9622195453874514,-0.012219545387451396,0.029743354911260907,1.203672611617497,0.7920513922697722,0.8747353474438816,0.09775712761049023
fast_cp,0.05,noise,0.9522916640714566,-0.0022916640714566523,0.030283889533069812,1.2047460928934475,0.769986657349507,0.8747353474438816,0.09775712761049023
fast_cp_mixed_0,0.05,noise,0.9522916640714566,-0.0022916640714566523,0.030283889533069812,1.2047460928934475,0.769986657349507,0.8747353474438816,0.09775712761049023
fast_cp_mixed_0.5,0.05,noise,0.963231122726276,-0.01323112272627606,0.030754932250085572,1.2061790834315247,0.7921364332513389,0.8747353474438816,0.09775712761049023
fast_cp_mixed_0.8,0.05,noise,0.9646439408741465,-0.01464394087414646,0.03216775039795597,1.2197867616129607,0.7802132383870393,0.8747353474438816,0.09775712761049023
aug_split_cp,0.05,noise,0.965205447068664,-0.015205447068664054,0.03272925659247357,1.2679792167044501,0.7320207832955499,0.8747353474438816,0.09775712761049023
fast_cp_mixed_1,0.05,noise,0.965205447068664,-0.015205447068664054,0.03272925659247357,1.2679792167044501,0.7320207832955499,0.8747353474438816,0.09775712761049023
label_smooth_aug_cp,0.05,noise,0.965205447068664,-0.015205447068664054,0.03272925659247357,1.2679792167044501,0.7320207832955499,0.8747353474438816,0.09775712761049023
confidence_weighted_cp,0.05,noise,0.9362001693356803,0.01379983066431969,0.05357172748274862,1.275389764150152,0.6629322313147007,0.8747353474438816,0.09775712761049023
clean_split_cp,0.05,noise,0.8736461561170311,0.0763538438829689,0.11759517851205871,1.185968257381133,0.6190152285505531,0.8747353474438816,0.09775712761049023
