dataset,seed,corruption,severity,alpha,method,n_train,n_calib,n_aug_calib,n_test,n_classes,coverage,avg_set_size,singleton_rate,singleton_accuracy,empty_rate,top1_accuracy,ece
ECG200,0,gap,0.05,0.1,clean_split_cp,65,35,350,100,2,0.95,1.35,0.65,0.9230769230769231,0.0,0.88,0.103503836274644
ECG200,0,gap,0.05,0.1,aug_split_cp,65,35,350,100,2,0.92,1.21,0.79,0.8987341772151899,0.0,0.88,0.103503836274644
ECG200,0,gap,0.05,0.1,label_smooth_aug_cp,65,35,350,100,2,0.92,1.21,0.79,0.8987341772151899,0.0,0.88,0.103503836274644
ECG200,0,gap,0.05,0.1,confidence_weighted_cp,65,35,350,100,2,0.93,1.27,0.73,0.9041095890410958,0.0,0.88,0.103503836274644
ECG200,0,gap,0.05,0.1,fast_cp,65,35,350,100,2,0.93,1.2,0.8,0.9125,0.0,0.88,0.103503836274644
ECG200,0,gap,0.05,0.05,clean_split_cp,65,35,350,100,2,1.0,1.88,0.12,1.0,0.0,0.88,0.103503836274644
ECG200,0,gap,0.05,0.05,aug_split_cp,65,35,350,100,2,0.95,1.36,0.64,0.921875,0.0,0.88,0.103503836274644
ECG200,0,gap,0.05,0.05,label_smooth_aug_cp,65,35,350,100,2,0.95,1.36,0.64,0.921875,0.0,0.88,0.103503836274644
ECG200,0,gap,0.05,0.05,confidence_weighted_cp,65,35,350,100,2,0.98,1.61,0.39,0.9487179487179487,0.0,0.88,0.103503836274644
ECG200,0,gap,0.05,0.05,fast_cp,65,35,350,100,2,0.96,1.41,0.59,0.9322033898305084,0.0,0.88,0.103503836274644
ECG200,0,gap,0.1,0.1,clean_split_cp,65,35,350,100,2,0.95,1.31,0.69,0.927536231884058,0.0,0.84,0.10504743613085706
ECG200,0,gap,0.1,0.1,aug_split_cp,65,35,350,100,2,0.93,1.2,0.8,0.9125,0.0,0.84,0.10504743613085706
ECG200,0,gap,0.1,0.1,label_smooth_aug_cp,65,35,350,100,2,0.93,1.2,0.8,0.9125,0.0,0.84,0.10504743613085706
ECG200,0,gap,0.1,0.1,confidence_weighted_cp,65,35,350,100,2,0.95,1.27,0.73,0.9315068493150684,0.0,0.84,0.10504743613085706
ECG200,0,gap,0.1,0.1,fast_cp,65,35,350,100,2,0.93,1.2,0.8,0.9125,0.0,0.84,0.10504743613085706
ECG200,0,gap,0.1,0.05,clean_split_cp,65,35,350,100,2,0.99,1.86,0.14,0.9285714285714286,0.0,0.84,0.10504743613085706
ECG200,0,gap,0.1,0.05,aug_split_cp,65,35,350,100,2,0.95,1.36,0.64,0.921875,0.0,0.84,0.10504743613085706
ECG200,0,gap,0.1,0.05,label_smooth_aug_cp,65,35,350,100,2,0.95,1.36,0.64,0.921875,0.0,0.84,0.10504743613085706
ECG200,0,gap,0.1,0.05,confidence_weighted_cp,65,35,350,100,2,0.98,1.58,0.42,0.9523809523809523,0.0,0.84,0.10504743613085706
ECG200,0,gap,0.1,0.05,fast_cp,65,35,350,100,2,0.96,1.37,0.63,0.9365079365079365,0.0,0.84,0.10504743613085706
ECG200,0,gap,0.2,0.1,clean_split_cp,65,35,350,100,2,0.95,1.38,0.62,0.9193548387096774,0.0,0.82,0.140855895998516
ECG200,0,gap,0.2,0.1,aug_split_cp,65,35,350,100,2,0.91,1.24,0.76,0.881578947368421,0.0,0.82,0.140855895998516
ECG200,0,gap,0.2,0.1,label_smooth_aug_cp,65,35,350,100,2,0.91,1.24,0.76,0.881578947368421,0.0,0.82,0.140855895998516
ECG200,0,gap,0.2,0.1,confidence_weighted_cp,65,35,350,100,2,0.94,1.34,0.66,0.9090909090909091,0.0,0.82,0.140855895998516
ECG200,0,gap,0.2,0.1,fast_cp,65,35,350,100,2,0.92,1.24,0.76,0.8947368421052632,0.0,0.82,0.140855895998516
ECG200,0,gap,0.2,0.05,clean_split_cp,65,35,350,100,2,0.98,1.87,0.13,0.8461538461538461,0.0,0.82,0.140855895998516
ECG200,0,gap,0.2,0.05,aug_split_cp,65,35,350,100,2,0.97,1.43,0.57,0.9473684210526315,0.0,0.82,0.140855895998516
ECG200,0,gap,0.2,0.05,label_smooth_aug_cp,65,35,350,100,2,0.97,1.43,0.57,0.9473684210526315,0.0,0.82,0.140855895998516
