run,datasets,seeds,corruptions,alphas,rows,elapsed_sec,sec_per_dataset_seed,result_path
smoke,2,1,2,2,120,11.595,5.7975,results/smoke/fastcp_results.csv
pilot5,5,1,3,2,450,85.159,17.0318,results/pilot5/fastcp_results.csv
pilot5_mixed,5,1,3,2,540,80.387,16.0774,results/pilot5_mixed/fastcp_results.csv
main10_small_alpha005,10,1,3,1,540,116.603,11.6603,results/main10_small_alpha005/fastcp_results.csv
mix_ablation5_alpha005,5,1,3,1,495,60.487,12.0974,results/mix_ablation5_alpha005/fastcp_results.csv
main10_3seed_alpha005,10,3,3,1,1620,325.77,10.859,results/main10_3seed_alpha005/fastcp_results.csv
ucr35valid_5seed_alpha005_rerun_20260529,35,5,3,1,25200,2863.665,16.3638,results/ucr35valid_5seed_alpha005_rerun_20260529/fastcp_results.csv
lambda_tuning_10ds_3seed_alpha005_01_02,10,3,3,3,12960,838.515,27.950499999999998,results/lambda_tuning_10ds_3seed_alpha005_01_02/fastcp_results.csv
lambda_eval_25ds_3seed_alpha005_01_02,25,3,3,3,32400,1190.633,15.875106666666667,results/lambda_eval_25ds_3seed_alpha005_01_02/fastcp_results.csv
minirocket15_3seed_alpha005_01,15,3,3,2,8100,21.972,0.4882666666666667,results/minirocket15_3seed_alpha005_01/fastcp_results.csv
uea_external_3ds_3seed_alpha005,3,3,3,1,486,134.235,14.915,results/uea_external_3ds_3seed_alpha005/fastcp_uea_results.csv
deep_fcn8_2seed_alpha005,8,2,3,1,576,45.774,2.860875,results/deep_fcn8_2seed_alpha005/deep_backbone_results.csv
