dataset,seed,corruption,severity,alpha,method,n_train,n_calib,n_aug_calib,n_test,n_classes,coverage,avg_set_size,singleton_rate,singleton_accuracy,empty_rate,top1_accuracy,ece
ECG200,0,gap,0.05,0.1,clean_split_cp,65,35,245,100,2,0.96,1.42,0.58,0.9310344827586207,0.0,0.88,0.09393804700705594
ECG200,0,gap,0.05,0.1,aug_split_cp,65,35,245,100,2,0.94,1.28,0.72,0.9166666666666666,0.0,0.88,0.09393804700705594
ECG200,0,gap,0.05,0.1,label_smooth_aug_cp,65,35,245,100,2,0.94,1.28,0.72,0.9166666666666666,0.0,0.88,0.09393804700705594
ECG200,0,gap,0.05,0.1,confidence_weighted_cp,65,35,245,100,2,0.94,1.35,0.65,0.9076923076923077,0.0,0.88,0.09393804700705594
ECG200,0,gap,0.05,0.1,fast_cp,65,35,245,100,2,0.95,1.3,0.7,0.9285714285714286,0.0,0.88,0.09393804700705594
ECG200,0,gap,0.05,0.05,clean_split_cp,65,35,245,100,2,1.0,1.85,0.15,1.0,0.0,0.88,0.09393804700705594
ECG200,0,gap,0.05,0.05,aug_split_cp,65,35,245,100,2,0.98,1.63,0.37,0.9459459459459459,0.0,0.88,0.09393804700705594
ECG200,0,gap,0.05,0.05,label_smooth_aug_cp,65,35,245,100,2,0.98,1.63,0.37,0.9459459459459459,0.0,0.88,0.09393804700705594
ECG200,0,gap,0.05,0.05,confidence_weighted_cp,65,35,245,100,2,0.99,1.78,0.22,0.9545454545454546,0.0,0.88,0.09393804700705594
ECG200,0,gap,0.05,0.05,fast_cp,65,35,245,100,2,0.98,1.57,0.43,0.9534883720930233,0.0,0.88,0.09393804700705594
ECG200,0,gap,0.1,0.1,clean_split_cp,65,35,245,100,2,0.97,1.41,0.59,0.9491525423728814,0.0,0.82,0.1109891322045499
ECG200,0,gap,0.1,0.1,aug_split_cp,65,35,245,100,2,0.94,1.25,0.75,0.92,0.0,0.82,0.1109891322045499
ECG200,0,gap,0.1,0.1,label_smooth_aug_cp,65,35,245,100,2,0.94,1.25,0.75,0.92,0.0,0.82,0.1109891322045499
ECG200,0,gap,0.1,0.1,confidence_weighted_cp,65,35,245,100,2,0.95,1.33,0.67,0.9253731343283582,0.0,0.82,0.1109891322045499
ECG200,0,gap,0.1,0.1,fast_cp,65,35,245,100,2,0.95,1.3,0.7,0.9285714285714286,0.0,0.82,0.1109891322045499
ECG200,0,gap,0.1,0.05,clean_split_cp,65,35,245,100,2,1.0,1.87,0.13,1.0,0.0,0.82,0.1109891322045499
ECG200,0,gap,0.1,0.05,aug_split_cp,65,35,245,100,2,0.98,1.59,0.41,0.9512195121951219,0.0,0.82,0.1109891322045499
ECG200,0,gap,0.1,0.05,label_smooth_aug_cp,65,35,245,100,2,0.98,1.59,0.41,0.9512195121951219,0.0,0.82,0.1109891322045499
ECG200,0,gap,0.1,0.05,confidence_weighted_cp,65,35,245,100,2,0.98,1.76,0.24,0.9166666666666666,0.0,0.82,0.1109891322045499
ECG200,0,gap,0.1,0.05,fast_cp,65,35,245,100,2,0.98,1.56,0.44,0.9545454545454546,0.0,0.82,0.1109891322045499
ECG200,0,gap,0.2,0.1,clean_split_cp,65,35,245,100,2,0.98,1.48,0.52,0.9615384615384616,0.0,0.8,0.1358568429436866
ECG200,0,gap,0.2,0.1,aug_split_cp,65,35,245,100,2,0.93,1.29,0.71,0.9014084507042254,0.0,0.8,0.1358568429436866
ECG200,0,gap,0.2,0.1,label_smooth_aug_cp,65,35,245,100,2,0.93,1.29,0.71,0.9014084507042254,0.0,0.8,0.1358568429436866
ECG200,0,gap,0.2,0.1,confidence_weighted_cp,65,35,245,100,2,0.93,1.33,0.67,0.8955223880597015,0.0,0.8,0.1358568429436866
ECG200,0,gap,0.2,0.1,fast_cp,65,35,245,100,2,0.94,1.3,0.7,0.9142857142857143,0.0,0.8,0.1358568429436866
ECG200,0,gap,0.2,0.05,clean_split_cp,65,35,245,100,2,0.99,1.86,0.14,0.9285714285714286,0.0,0.8,0.1358568429436866
ECG200,0,gap,0.2,0.05,aug_split_cp,65,35,245,100,2,0.98,1.61,0.39,0.9487179487179487,0.0,0.8,0.1358568429436866
ECG200,0,gap,0.2,0.05,label_smooth_aug_cp,65,35,245,100,2,0.98,1.61,0.39,0.9487179487179487,0.0,0.8,0.1358568429436866
ECG200,0,gap,0.2,0.05,confidence_weighted_cp,65,35,245,100,2,0.97,1.77,0.23,0.8695652173913043,0.0,0.8,0.1358568429436866
ECG200,0,gap,0.2,0.05,fast_cp,65,35,245,100,2,0.98,1.52,0.48,0.9583333333333334,0.0,0.8,0.1358568429436866
ECG200,0,noise,0.05,0.1,clean_split_cp,65,35,245,100,2,0.96,1.43,0.57,0.9298245614035088,0.0,0.86,0.09367895071466872
ECG200,0,noise,0.05,0.1,aug_split_cp,65,35,245,100,2,0.93,1.23,0.77,0.9090909090909091,0.0,0.86,0.09367895071466872
ECG200,0,noise,0.05,0.1,label_smooth_aug_cp,65,35,245,100,2,0.93,1.23,0.77,0.9090909090909091,0.0,0.86,0.09367895071466872
ECG200,0,noise,0.05,0.1,confidence_weighted_cp,65,35,245,100,2,0.95,1.31,0.69,0.927536231884058,0.0,0.86,0.09367895071466872
ECG200,0,noise,0.05,0.1,fast_cp,65,35,245,100,2,0.93,1.23,0.77,0.9090909090909091,0.0,0.86,0.09367895071466872
ECG200,0,noise,0.05,0.05,clean_split_cp,65,35,245,100,2,1.0,1.86,0.14,1.0,0.0,0.86,0.09367895071466872
