dataset,seed,corruption,severity,alpha,method,n_train,n_calib,n_aug_calib,n_test,n_classes,coverage,avg_set_size,singleton_rate,singleton_accuracy,empty_rate,top1_accuracy,ece
ECG200,0,gap,0.05,0.05,clean_split_cp,65,35,245,100,2,1.0,1.69,0.31,1.0,0.0,0.84,0.11206208388270766
ECG200,0,gap,0.05,0.05,aug_split_cp,65,35,245,100,2,0.98,1.56,0.44,0.9545454545454546,0.0,0.84,0.11206208388270766
ECG200,0,gap,0.05,0.05,aps_aug_cp,65,35,245,100,2,1.0,2.0,0.0,0.0,0.0,0.84,0.11206208388270766
ECG200,0,gap,0.05,0.05,raps_aug_cp,65,35,245,100,2,1.0,2.0,0.0,0.0,0.0,0.84,0.11206208388270766
ECG200,0,gap,0.05,0.05,mondrian_corruption_cp,65,35,245,100,2,0.98,1.56,0.44,0.9545454545454546,0.0,0.84,0.11206208388270766
ECG200,0,gap,0.05,0.05,label_smooth_aug_cp,65,35,245,100,2,0.98,1.56,0.44,0.9545454545454546,0.0,0.84,0.11206208388270766
ECG200,0,gap,0.05,0.05,confidence_weighted_cp,65,35,245,100,2,0.98,1.57,0.43,0.9534883720930233,0.0,0.84,0.11206208388270766
ECG200,0,gap,0.05,0.05,fast_cp,65,35,245,100,2,0.98,1.49,0.51,0.9607843137254902,0.0,0.84,0.11206208388270766
ECG200,0,gap,0.05,0.05,fast_cp_mixed,65,35,245,100,2,0.98,1.51,0.49,0.9591836734693877,0.0,0.84,0.11206208388270766
ECG200,0,gap,0.05,0.05,fast_cp_mixed_input_only,65,35,245,100,2,0.98,1.46,0.54,0.9629629629629629,0.0,0.84,0.11206208388270766
ECG200,0,gap,0.05,0.05,fast_cp_mixed_no_confidence,65,35,245,100,2,0.98,1.46,0.54,0.9629629629629629,0.0,0.84,0.11206208388270766
ECG200,0,gap,0.05,0.05,fast_cp_mixed_no_spectral,65,35,245,100,2,0.98,1.5,0.5,0.96,0.0,0.84,0.11206208388270766
ECG200,0,gap,0.1,0.05,clean_split_cp,65,35,245,100,2,0.99,1.67,0.33,0.9696969696969697,0.0,0.84,0.12284373096730665
ECG200,0,gap,0.1,0.05,aug_split_cp,65,35,245,100,2,0.99,1.53,0.47,0.9787234042553191,0.0,0.84,0.12284373096730665
ECG200,0,gap,0.1,0.05,aps_aug_cp,65,35,245,100,2,1.0,2.0,0.0,0.0,0.0,0.84,0.12284373096730665
ECG200,0,gap,0.1,0.05,raps_aug_cp,65,35,245,100,2,1.0,2.0,0.0,0.0,0.0,0.84,0.12284373096730665
ECG200,0,gap,0.1,0.05,mondrian_corruption_cp,65,35,245,100,2,0.99,1.54,0.46,0.9782608695652174,0.0,0.84,0.12284373096730665
ECG200,0,gap,0.1,0.05,label_smooth_aug_cp,65,35,245,100,2,0.99,1.53,0.47,0.9787234042553191,0.0,0.84,0.12284373096730665
ECG200,0,gap,0.1,0.05,confidence_weighted_cp,65,35,245,100,2,0.99,1.55,0.45,0.9777777777777777,0.0,0.84,0.12284373096730665
ECG200,0,gap,0.1,0.05,fast_cp,65,35,245,100,2,0.99,1.51,0.49,0.9795918367346939,0.0,0.84,0.12284373096730665
ECG200,0,gap,0.1,0.05,fast_cp_mixed,65,35,245,100,2,0.99,1.53,0.47,0.9787234042553191,0.0,0.84,0.12284373096730665
ECG200,0,gap,0.1,0.05,fast_cp_mixed_input_only,65,35,245,100,2,0.98,1.42,0.58,0.9655172413793104,0.0,0.84,0.12284373096730665
ECG200,0,gap,0.1,0.05,fast_cp_mixed_no_confidence,65,35,245,100,2,0.98,1.42,0.58,0.9655172413793104,0.0,0.84,0.12284373096730665
ECG200,0,gap,0.1,0.05,fast_cp_mixed_no_spectral,65,35,245,100,2,0.99,1.53,0.47,0.9787234042553191,0.0,0.84,0.12284373096730665
ECG200,0,gap,0.2,0.05,clean_split_cp,65,35,245,100,2,0.99,1.67,0.33,0.9696969696969697,0.0,0.82,0.12215511828806735
ECG200,0,gap,0.2,0.05,aug_split_cp,65,35,245,100,2,0.99,1.58,0.42,0.9761904761904762,0.0,0.82,0.12215511828806735
ECG200,0,gap,0.2,0.05,aps_aug_cp,65,35,245,100,2,1.0,2.0,0.0,0.0,0.0,0.82,0.12215511828806735
ECG200,0,gap,0.2,0.05,raps_aug_cp,65,35,245,100,2,1.0,2.0,0.0,0.0,0.0,0.82,0.12215511828806735
ECG200,0,gap,0.2,0.05,mondrian_corruption_cp,65,35,245,100,2,0.99,1.58,0.42,0.9761904761904762,0.0,0.82,0.12215511828806735
ECG200,0,gap,0.2,0.05,label_smooth_aug_cp,65,35,245,100,2,0.99,1.58,0.42,0.9761904761904762,0.0,0.82,0.12215511828806735
ECG200,0,gap,0.2,0.05,confidence_weighted_cp,65,35,245,100,2,0.99,1.59,0.41,0.975609756097561,0.0,0.82,0.12215511828806735
ECG200,0,gap,0.2,0.05,fast_cp,65,35,245,100,2,0.99,1.56,0.44,0.9772727272727273,0.0,0.82,0.12215511828806735
ECG200,0,gap,0.2,0.05,fast_cp_mixed,65,35,245,100,2,0.99,1.56,0.44,0.9772727272727273,0.0,0.82,0.12215511828806735
ECG200,0,gap,0.2,0.05,fast_cp_mixed_input_only,65,35,245,100,2,0.98,1.52,0.48,0.9583333333333334,0.0,0.82,0.12215511828806735
ECG200,0,gap,0.2,0.05,fast_cp_mixed_no_confidence,65,35,245,100,2,0.98,1.52,0.48,0.9583333333333334,0.0,0.82,0.12215511828806735
ECG200,0,gap,0.2,0.05,fast_cp_mixed_no_spectral,65,35,245,100,2,0.99,1.57,0.43,0.9767441860465116,0.0,0.82,0.12215511828806735
ECG200,0,noise,0.05,0.05,clean_split_cp,65,35,245,100,2,0.99,1.68,0.32,0.96875,0.0,0.83,0.12590054297998157
ECG200,0,noise,0.05,0.05,aug_split_cp,65,35,245,100,2,0.99,1.54,0.46,0.9782608695652174,0.0,0.83,0.12590054297998157
ECG200,0,noise,0.05,0.05,aps_aug_cp,65,35,245,100,2,1.0,2.0,0.0,0.0,0.0,0.83,0.12590054297998157
ECG200,0,noise,0.05,0.05,raps_aug_cp,65,35,245,100,2,1.0,2.0,0.0,0.0,0.0,0.83,0.12590054297998157
ECG200,0,noise,0.05,0.05,mondrian_corruption_cp,65,35,245,100,2,0.99,1.66,0.34,0.9705882352941176,0.0,0.83,0.12590054297998157
ECG200,0,noise,0.05,0.05,label_smooth_aug_cp,65,35,245,100,2,0.99,1.54,0.46,0.9782608695652174,0.0,0.83,0.12590054297998157
ECG200,0,noise,0.05,0.05,confidence_weighted_cp,65,35,245,100,2,0.99,1.54,0.46,0.9782608695652174,0.0,0.83,0.12590054297998157
ECG200,0,noise,0.05,0.05,fast_cp,65,35,245,100,2,0.97,1.46,0.54,0.9444444444444444,0.0,0.83,0.12590054297998157
ECG200,0,noise,0.05,0.05,fast_cp_mixed,65,35,245,100,2,0.97,1.49,0.51,0.9411764705882353,0.0,0.83,0.12590054297998157
ECG200,0,noise,0.05,0.05,fast_cp_mixed_input_only,65,35,245,100,2,0.97,1.44,0.56,0.9464285714285714,0.0,0.83,0.12590054297998157
ECG200,0,noise,0.05,0.05,fast_cp_mixed_no_confidence,65,35,245,100,2,0.97,1.44,0.56,0.9464285714285714,0.0,0.83,0.12590054297998157
ECG200,0,noise,0.05,0.05,fast_cp_mixed_no_spectral,65,35,245,100,2,0.97,1.48,0.52,0.9423076923076923,0.0,0.83,0.12590054297998157
ECG200,0,noise,0.1,0.05,clean_split_cp,65,35,245,100,2,1.0,1.65,0.35,1.0,0.0,0.84,0.1226840975272811
ECG200,0,noise,0.1,0.05,aug_split_cp,65,35,245,100,2,0.99,1.57,0.43,0.9767441860465116,0.0,0.84,0.1226840975272811
ECG200,0,noise,0.1,0.05,aps_aug_cp,65,35,245,100,2,1.0,2.0,0.0,0.0,0.0,0.84,0.1226840975272811
ECG200,0,noise,0.1,0.05,raps_aug_cp,65,35,245,100,2,1.0,2.0,0.0,0.0,0.0,0.84,0.1226840975272811
ECG200,0,noise,0.1,0.05,mondrian_corruption_cp,65,35,245,100,2,0.99,1.64,0.36,0.9722222222222222,0.0,0.84,0.1226840975272811
ECG200,0,noise,0.1,0.05,label_smooth_aug_cp,65,35,245,100,2,0.99,1.57,0.43,0.9767441860465116,0.0,0.84,0.1226840975272811
ECG200,0,noise,0.1,0.05,confidence_weighted_cp,65,35,245,100,2,0.99,1.57,0.43,0.9767441860465116,0.0,0.84,0.1226840975272811
ECG200,0,noise,0.1,0.05,fast_cp,65,35,245,100,2,0.98,1.48,0.52,0.9615384615384616,0.0,0.84,0.1226840975272811
ECG200,0,noise,0.1,0.05,fast_cp_mixed,65,35,245,100,2,0.99,1.5,0.5,0.98,0.0,0.84,0.1226840975272811
