method,alpha,corruption,coverage,coverage_gap,abs_coverage_gap,avg_set_size,singleton_rate,top1_accuracy,ece
fast_cp_mixed_input_only,0.05,gap,0.9822222222222221,-0.03222222222222223,0.03222222222222223,1.4844444444444445,0.5155555555555555,0.8366666666666666,0.0892551630354219
fast_cp_mixed_no_confidence,0.05,gap,0.9822222222222221,-0.03222222222222223,0.03222222222222223,1.4844444444444445,0.5155555555555555,0.8366666666666666,0.0892551630354219
fast_cp,0.05,gap,0.9844444444444443,-0.034444444444444465,0.034444444444444465,1.4966666666666668,0.5033333333333333,0.8366666666666666,0.0892551630354219
fast_cp_mixed,0.05,gap,0.9855555555555555,-0.03555555555555556,0.03555555555555556,1.5255555555555553,0.47444444444444445,0.8366666666666666,0.0892551630354219
fast_cp_mixed_no_spectral,0.05,gap,0.9855555555555555,-0.03555555555555556,0.03555555555555556,1.5255555555555553,0.47444444444444445,0.8366666666666666,0.0892551630354219
mondrian_corruption_cp,0.05,gap,0.9855555555555555,-0.03555555555555556,0.03555555555555556,1.5333333333333332,0.4666666666666666,0.8366666666666666,0.0892551630354219
aug_split_cp,0.05,gap,0.9877777777777778,-0.037777777777777834,0.037777777777777834,1.5916666666666668,0.4083333333333334,0.8366666666666666,0.0892551630354219
label_smooth_aug_cp,0.05,gap,0.9877777777777778,-0.037777777777777834,0.037777777777777834,1.5916666666666668,0.4083333333333334,0.8366666666666666,0.0892551630354219
confidence_weighted_cp,0.05,gap,0.9877777777777778,-0.037777777777777834,0.037777777777777834,1.5983333333333334,0.40166666666666667,0.8366666666666666,0.0892551630354219
clean_split_cp,0.05,gap,0.9933333333333333,-0.04333333333333337,0.04333333333333337,1.6694444444444443,0.33055555555555555,0.8366666666666666,0.0892551630354219
aps_aug_cp,0.05,gap,1.0,-0.050000000000000044,0.050000000000000044,2.0,0.0,0.8366666666666666,0.0892551630354219
raps_aug_cp,0.05,gap,1.0,-0.050000000000000044,0.050000000000000044,2.0,0.0,0.8366666666666666,0.0892551630354219
mondrian_corruption_cp,0.05,noise,0.9861111111111112,-0.03611111111111117,0.03611111111111117,1.7316666666666667,0.2683333333333333,0.7711111111111112,0.1614089378073439
fast_cp_mixed_input_only,0.05,noise,0.9416666666666668,0.008333333333333304,0.041666666666666664,1.4616666666666667,0.5383333333333333,0.7711111111111112,0.1614089378073439
fast_cp_mixed_no_confidence,0.05,noise,0.9416666666666668,0.008333333333333304,0.041666666666666664,1.4616666666666667,0.5383333333333333,0.7711111111111112,0.1614089378073439
fast_cp,0.05,noise,0.9444444444444443,0.005555555555555518,0.04222222222222222,1.4633333333333336,0.5366666666666666,0.7711111111111112,0.1614089378073439
fast_cp_mixed,0.05,noise,0.9461111111111111,0.0038888888888888307,0.04833333333333334,1.4838888888888888,0.5161111111111111,0.7711111111111112,0.1614089378073439
fast_cp_mixed_no_spectral,0.05,noise,0.945,0.004999999999999949,0.04944444444444446,1.4816666666666667,0.5183333333333334,0.7711111111111112,0.1614089378073439
aps_aug_cp,0.05,noise,1.0,-0.050000000000000044,0.050000000000000044,2.0,0.0,0.7711111111111112,0.1614089378073439
raps_aug_cp,0.05,noise,1.0,-0.050000000000000044,0.050000000000000044,2.0,0.0,0.7711111111111112,0.1614089378073439
aug_split_cp,0.05,noise,0.9505555555555555,-0.0005555555555555869,0.05277777777777779,1.5338888888888889,0.4661111111111111,0.7711111111111112,0.1614089378073439
confidence_weighted_cp,0.05,noise,0.9505555555555555,-0.0005555555555555869,0.05277777777777779,1.5338888888888889,0.4661111111111111,0.7711111111111112,0.1614089378073439
label_smooth_aug_cp,0.05,noise,0.9505555555555555,-0.0005555555555555869,0.05277777777777779,1.5338888888888889,0.4661111111111111,0.7711111111111112,0.1614089378073439
clean_split_cp,0.05,noise,0.9622222222222222,-0.012222222222222282,0.05333333333333338,1.6022222222222222,0.3977777777777778,0.7711111111111112,0.1614089378073439
