dataset,seed,corruption,severity,alpha,method,n_train,n_calib,n_aug_calib,n_test,n_classes,coverage,avg_set_size,singleton_rate,singleton_accuracy,empty_rate,top1_accuracy,ece
ECG200,0,gap,0.05,0.05,clean_split_cp,65,35,245,100,2,0.96,1.29,0.71,0.9436619718309859,0.0,0.87,0.09510905710638806
ECG200,0,gap,0.05,0.05,aug_split_cp,65,35,245,100,2,0.96,1.31,0.69,0.9420289855072463,0.0,0.87,0.09510905710638806
ECG200,0,gap,0.05,0.05,aps_aug_cp,65,35,245,100,2,0.99,1.98,0.02,0.5,0.0,0.87,0.09510905710638806
ECG200,0,gap,0.05,0.05,raps_aug_cp,65,35,245,100,2,0.99,1.98,0.02,0.5,0.0,0.87,0.09510905710638806
ECG200,0,gap,0.05,0.05,mondrian_corruption_cp,65,35,245,100,2,0.96,1.31,0.69,0.9420289855072463,0.0,0.87,0.09510905710638806
ECG200,0,gap,0.05,0.05,label_smooth_aug_cp,65,35,245,100,2,0.96,1.31,0.69,0.9420289855072463,0.0,0.87,0.09510905710638806
ECG200,0,gap,0.05,0.05,confidence_weighted_cp,65,35,245,100,2,0.96,1.36,0.64,0.9375,0.0,0.87,0.09510905710638806
ECG200,0,gap,0.05,0.05,fast_cp,65,35,245,100,2,0.96,1.31,0.69,0.9420289855072463,0.0,0.87,0.09510905710638806
ECG200,0,gap,0.05,0.05,fast_cp_mixed_0.35,65,35,245,100,2,0.96,1.31,0.69,0.9420289855072463,0.0,0.87,0.09510905710638806
ECG200,0,gap,0.05,0.05,fast_cp_mixed_1,65,35,245,100,2,0.96,1.31,0.69,0.9420289855072463,0.0,0.87,0.09510905710638806
ECG200,0,gap,0.1,0.05,clean_split_cp,65,35,245,100,2,0.97,1.29,0.71,0.9577464788732394,0.0,0.85,0.10596767687993719
ECG200,0,gap,0.1,0.05,aug_split_cp,65,35,245,100,2,0.98,1.32,0.68,0.9705882352941176,0.0,0.85,0.10596767687993719
ECG200,0,gap,0.1,0.05,aps_aug_cp,65,35,245,100,2,1.0,2.0,0.0,0.0,0.0,0.85,0.10596767687993719
ECG200,0,gap,0.1,0.05,raps_aug_cp,65,35,245,100,2,1.0,2.0,0.0,0.0,0.0,0.85,0.10596767687993719
ECG200,0,gap,0.1,0.05,mondrian_corruption_cp,65,35,245,100,2,0.98,1.32,0.68,0.9705882352941176,0.0,0.85,0.10596767687993719
ECG200,0,gap,0.1,0.05,label_smooth_aug_cp,65,35,245,100,2,0.98,1.32,0.68,0.9705882352941176,0.0,0.85,0.10596767687993719
ECG200,0,gap,0.1,0.05,confidence_weighted_cp,65,35,245,100,2,0.98,1.34,0.66,0.9696969696969697,0.0,0.85,0.10596767687993719
ECG200,0,gap,0.1,0.05,fast_cp,65,35,245,100,2,0.98,1.32,0.68,0.9705882352941176,0.0,0.85,0.10596767687993719
ECG200,0,gap,0.1,0.05,fast_cp_mixed_0.35,65,35,245,100,2,0.98,1.32,0.68,0.9705882352941176,0.0,0.85,0.10596767687993719
ECG200,0,gap,0.1,0.05,fast_cp_mixed_1,65,35,245,100,2,0.98,1.32,0.68,0.9705882352941176,0.0,0.85,0.10596767687993719
ECG200,0,gap,0.2,0.05,clean_split_cp,65,35,245,100,2,0.94,1.37,0.63,0.9047619047619048,0.0,0.8,0.11302031431406703
ECG200,0,gap,0.2,0.05,aug_split_cp,65,35,245,100,2,0.94,1.4,0.6,0.9,0.0,0.8,0.11302031431406703
ECG200,0,gap,0.2,0.05,aps_aug_cp,65,35,245,100,2,1.0,2.0,0.0,0.0,0.0,0.8,0.11302031431406703
ECG200,0,gap,0.2,0.05,raps_aug_cp,65,35,245,100,2,1.0,2.0,0.0,0.0,0.0,0.8,0.11302031431406703
ECG200,0,gap,0.2,0.05,mondrian_corruption_cp,65,35,245,100,2,0.94,1.4,0.6,0.9,0.0,0.8,0.11302031431406703
ECG200,0,gap,0.2,0.05,label_smooth_aug_cp,65,35,245,100,2,0.94,1.4,0.6,0.9,0.0,0.8,0.11302031431406703
ECG200,0,gap,0.2,0.05,confidence_weighted_cp,65,35,245,100,2,0.95,1.43,0.57,0.9122807017543859,0.0,0.8,0.11302031431406703
ECG200,0,gap,0.2,0.05,fast_cp,65,35,245,100,2,0.94,1.39,0.61,0.9016393442622951,0.0,0.8,0.11302031431406703
ECG200,0,gap,0.2,0.05,fast_cp_mixed_0.35,65,35,245,100,2,0.94,1.39,0.61,0.9016393442622951,0.0,0.8,0.11302031431406703
ECG200,0,gap,0.2,0.05,fast_cp_mixed_1,65,35,245,100,2,0.94,1.4,0.6,0.9,0.0,0.8,0.11302031431406703
ECG200,0,noise,0.05,0.05,clean_split_cp,65,35,245,100,2,0.95,1.3,0.7,0.9285714285714286,0.0,0.85,0.11528201359220493
ECG200,0,noise,0.05,0.05,aug_split_cp,65,35,245,100,2,0.96,1.34,0.66,0.9393939393939394,0.0,0.85,0.11528201359220493
ECG200,0,noise,0.05,0.05,aps_aug_cp,65,35,245,100,2,1.0,1.99,0.01,1.0,0.0,0.85,0.11528201359220493
ECG200,0,noise,0.05,0.05,raps_aug_cp,65,35,245,100,2,1.0,1.99,0.01,1.0,0.0,0.85,0.11528201359220493
ECG200,0,noise,0.05,0.05,mondrian_corruption_cp,65,35,245,100,2,0.97,1.42,0.58,0.9482758620689655,0.0,0.85,0.11528201359220493
ECG200,0,noise,0.05,0.05,label_smooth_aug_cp,65,35,245,100,2,0.96,1.34,0.66,0.9393939393939394,0.0,0.85,0.11528201359220493
ECG200,0,noise,0.05,0.05,confidence_weighted_cp,65,35,245,100,2,0.97,1.37,0.63,0.9523809523809523,0.0,0.85,0.11528201359220493
ECG200,0,noise,0.05,0.05,fast_cp,65,35,245,100,2,0.95,1.32,0.68,0.9264705882352942,0.0,0.85,0.11528201359220493
ECG200,0,noise,0.05,0.05,fast_cp_mixed_0.35,65,35,245,100,2,0.96,1.33,0.67,0.9402985074626866,0.0,0.85,0.11528201359220493
ECG200,0,noise,0.05,0.05,fast_cp_mixed_1,65,35,245,100,2,0.96,1.34,0.66,0.9393939393939394,0.0,0.85,0.11528201359220493
ECG200,0,noise,0.1,0.05,clean_split_cp,65,35,245,100,2,0.95,1.32,0.68,0.9264705882352942,0.0,0.84,0.07656219502682222
ECG200,0,noise,0.1,0.05,aug_split_cp,65,35,245,100,2,0.95,1.33,0.67,0.9253731343283582,0.0,0.84,0.07656219502682222
ECG200,0,noise,0.1,0.05,aps_aug_cp,65,35,245,100,2,1.0,1.99,0.01,1.0,0.0,0.84,0.07656219502682222
ECG200,0,noise,0.1,0.05,raps_aug_cp,65,35,245,100,2,1.0,1.99,0.01,1.0,0.0,0.84,0.07656219502682222
ECG200,0,noise,0.1,0.05,mondrian_corruption_cp,65,35,245,100,2,0.98,1.42,0.58,0.9655172413793104,0.0,0.84,0.07656219502682222
ECG200,0,noise,0.1,0.05,label_smooth_aug_cp,65,35,245,100,2,0.95,1.33,0.67,0.9253731343283582,0.0,0.84,0.07656219502682222
ECG200,0,noise,0.1,0.05,confidence_weighted_cp,65,35,245,100,2,0.95,1.35,0.65,0.9230769230769231,0.0,0.84,0.07656219502682222
ECG200,0,noise,0.1,0.05,fast_cp,65,35,245,100,2,0.95,1.33,0.67,0.9253731343283582,0.0,0.84,0.07656219502682222
ECG200,0,noise,0.1,0.05,fast_cp_mixed_0.35,65,35,245,100,2,0.95,1.33,0.67,0.9253731343283582,0.0,0.84,0.07656219502682222
ECG200,0,noise,0.1,0.05,fast_cp_mixed_1,65,35,245,100,2,0.95,1.33,0.67,0.9253731343283582,0.0,0.84,0.07656219502682222
ECG200,0,noise,0.2,0.05,clean_split_cp,65,35,245,100,2,0.86,1.24,0.76,0.8157894736842105,0.0,0.7,0.17721695722605968
ECG200,0,noise,0.2,0.05,aug_split_cp,65,35,245,100,2,0.87,1.25,0.75,0.8266666666666667,0.0,0.7,0.17721695722605968
ECG200,0,noise,0.2,0.05,aps_aug_cp,65,35,245,100,2,1.0,1.99,0.01,1.0,0.0,0.7,0.17721695722605968
ECG200,0,noise,0.2,0.05,raps_aug_cp,65,35,245,100,2,1.0,1.99,0.01,1.0,0.0,0.7,0.17721695722605968
ECG200,0,noise,0.2,0.05,mondrian_corruption_cp,65,35,245,100,2,0.93,1.35,0.65,0.8923076923076924,0.0,0.7,0.17721695722605968
ECG200,0,noise,0.2,0.05,label_smooth_aug_cp,65,35,245,100,2,0.87,1.25,0.75,0.8266666666666667,0.0,0.7,0.17721695722605968
ECG200,0,noise,0.2,0.05,confidence_weighted_cp,65,35,245,100,2,0.87,1.25,0.75,0.8266666666666667,0.0,0.7,0.17721695722605968
ECG200,0,noise,0.2,0.05,fast_cp,65,35,245,100,2,0.86,1.24,0.76,0.8157894736842105,0.0,0.7,0.17721695722605968
ECG200,0,noise,0.2,0.05,fast_cp_mixed_0.35,65,35,245,100,2,0.87,1.25,0.75,0.8266666666666667,0.0,0.7,0.17721695722605968
ECG200,0,noise,0.2,0.05,fast_cp_mixed_1,65,35,245,100,2,0.87,1.25,0.75,0.8266666666666667,0.0,0.7,0.17721695722605968
GunPoint,0,gap,0.05,0.05,clean_split_cp,32,18,126,150,2,0.9266666666666666,0.9333333333333333,0.9333333333333333,0.9928571428571429,0.06666666666666667,0.98,0.17169113803004604
GunPoint,0,gap,0.05,0.05,aug_split_cp,32,18,126,150,2,0.9933333333333333,1.0466666666666666,0.9533333333333334,0.993006993006993,0.0,0.98,0.17169113803004604
GunPoint,0,gap,0.05,0.05,aps_aug_cp,32,18,126,150,2,1.0,1.9533333333333334,0.04666666666666667,1.0,0.0,0.98,0.17169113803004604
GunPoint,0,gap,0.05,0.05,raps_aug_cp,32,18,126,150,2,1.0,1.9533333333333334,0.04666666666666667,1.0,0.0,0.98,0.17169113803004604
GunPoint,0,gap,0.05,0.05,mondrian_corruption_cp,32,18,126,150,2,0.9933333333333333,1.04,0.96,0.9930555555555556,0.0,0.98,0.17169113803004604
GunPoint,0,gap,0.05,0.05,label_smooth_aug_cp,32,18,126,150,2,0.9933333333333333,1.0466666666666666,0.9533333333333334,0.993006993006993,0.0,0.98,0.17169113803004604
GunPoint,0,gap,0.05,0.05,confidence_weighted_cp,32,18,126,150,2,0.9933333333333333,1.06,0.94,0.9929078014184397,0.0,0.98,0.17169113803004604
GunPoint,0,gap,0.05,0.05,fast_cp,32,18,126,150,2,0.9933333333333333,1.0533333333333332,0.9466666666666667,0.9929577464788732,0.0,0.98,0.17169113803004604
GunPoint,0,gap,0.05,0.05,fast_cp_mixed_0.35,32,18,126,150,2,0.9933333333333333,1.0466666666666666,0.9533333333333334,0.993006993006993,0.0,0.98,0.17169113803004604
GunPoint,0,gap,0.05,0.05,fast_cp_mixed_1,32,18,126,150,2,0.9933333333333333,1.0466666666666666,0.9533333333333334,0.993006993006993,0.0,0.98,0.17169113803004604
