method,alpha,corruption,coverage,coverage_gap,abs_coverage_gap,avg_set_size,singleton_rate,top1_accuracy,ece
aug_split_cp,0.05,gap,0.9788888888888888,-0.028888888888888926,0.028888888888888926,1.433888888888889,0.5661111111111111,0.8633333333333333,0.0844620714436608
label_smooth_aug_cp,0.05,gap,0.9788888888888888,-0.028888888888888926,0.028888888888888926,1.433888888888889,0.5661111111111111,0.8633333333333333,0.0844620714436608
confidence_weighted_cp,0.05,gap,0.9788888888888888,-0.028888888888888926,0.028888888888888926,1.513888888888889,0.48611111111111116,0.8633333333333333,0.0844620714436608
fast_cp,0.05,gap,0.9733333333333333,-0.023333333333333373,0.028888888888888947,1.386111111111111,0.6138888888888888,0.8633333333333333,0.0844620714436608
clean_split_cp,0.05,gap,0.9805555555555556,-0.030555555555555614,0.036111111111111184,1.521111111111111,0.47888888888888886,0.8633333333333333,0.0844620714436608
fast_cp,0.05,noise,0.9550000000000001,-0.005000000000000078,0.039444444444444504,1.4155555555555557,0.5844444444444444,0.8099999999999999,0.12334104213408985
aug_split_cp,0.05,noise,0.9533333333333333,-0.0033333333333333917,0.040000000000000056,1.43,0.57,0.8099999999999999,0.12334104213408985
label_smooth_aug_cp,0.05,noise,0.9533333333333333,-0.0033333333333333917,0.040000000000000056,1.43,0.57,0.8099999999999999,0.12334104213408985
confidence_weighted_cp,0.05,noise,0.9633333333333334,-0.0133333333333334,0.050000000000000065,1.5016666666666667,0.49833333333333335,0.8099999999999999,0.12334104213408985
clean_split_cp,0.05,noise,0.956111111111111,-0.00611111111111116,0.050555555555555555,1.5122222222222224,0.4877777777777778,0.8099999999999999,0.12334104213408985
aug_split_cp,0.1,gap,0.9483333333333333,-0.048333333333333305,0.048333333333333305,1.222222222222222,0.7777777777777777,0.8633333333333333,0.0844620714436608
label_smooth_aug_cp,0.1,gap,0.9483333333333333,-0.048333333333333305,0.048333333333333305,1.222222222222222,0.7777777777777777,0.8633333333333333,0.0844620714436608
fast_cp,0.1,gap,0.9488888888888889,-0.048888888888888815,0.048888888888888815,1.2177777777777778,0.7822222222222223,0.8633333333333333,0.0844620714436608
confidence_weighted_cp,0.1,gap,0.9533333333333333,-0.05333333333333331,0.05333333333333331,1.2794444444444444,0.7205555555555555,0.8633333333333333,0.0844620714436608
clean_split_cp,0.1,gap,0.9672222222222223,-0.0672222222222222,0.0672222222222222,1.3094444444444444,0.6905555555555556,0.8633333333333333,0.0844620714436608
aug_split_cp,0.1,noise,0.9144444444444444,-0.014444444444444426,0.046666666666666655,1.243888888888889,0.7561111111111112,0.8099999999999999,0.12334104213408985
label_smooth_aug_cp,0.1,noise,0.9144444444444444,-0.014444444444444426,0.046666666666666655,1.243888888888889,0.7561111111111112,0.8099999999999999,0.12334104213408985
fast_cp,0.1,noise,0.9105555555555555,-0.01055555555555554,0.04944444444444444,1.2277777777777776,0.7722222222222223,0.8099999999999999,0.12334104213408985
confidence_weighted_cp,0.1,noise,0.9372222222222222,-0.03722222222222223,0.05722222222222225,1.3138888888888889,0.6861111111111112,0.8099999999999999,0.12334104213408985
clean_split_cp,0.1,noise,0.936111111111111,-0.03611111111111107,0.06277777777777777,1.3322222222222222,0.6677777777777778,0.8099999999999999,0.12334104213408985
