dataset,seed,corruption,severity,alpha,method,repeats,extra_smoothing_sec,n_test,n_classes,coverage,avg_set_size,singleton_rate,singleton_accuracy,empty_rate,top1_accuracy,ece
ECG200,0,gap,0.05,0.05,aug_split_cp,1,0.0,100,2,0.96,1.45,0.55,0.9272727272727272,0.0,0.88,0.09393804700705594
ECG200,0,gap,0.05,0.05,fast_cp_mixed,1,0.0,100,2,0.98,1.5,0.5,0.96,0.0,0.88,0.09393804700705594
ECG200,0,gap,0.05,0.05,smoothing_proxy_cp,8,12.472839832305908,100,2,0.97,1.58,0.42,0.9285714285714286,0.0,0.85,0.09049726019999021
ECG200,0,gap,0.1,0.05,aug_split_cp,1,0.0,100,2,0.98,1.46,0.54,0.9629629629629629,0.0,0.82,0.1109891322045499
ECG200,0,gap,0.1,0.05,fast_cp_mixed,1,0.0,100,2,0.98,1.46,0.54,0.9629629629629629,0.0,0.82,0.1109891322045499
ECG200,0,gap,0.1,0.05,smoothing_proxy_cp,8,12.474564790725708,100,2,0.98,1.56,0.44,0.9545454545454546,0.0,0.83,0.1059166632829063
ECG200,0,gap,0.2,0.05,aug_split_cp,1,0.0,100,2,0.98,1.49,0.51,0.9607843137254902,0.0,0.8,0.1358568429436866
ECG200,0,gap,0.2,0.05,fast_cp_mixed,1,0.0,100,2,0.98,1.51,0.49,0.9591836734693877,0.0,0.8,0.1358568429436866
ECG200,0,gap,0.2,0.05,smoothing_proxy_cp,8,12.488434791564941,100,2,0.98,1.59,0.41,0.9512195121951219,0.0,0.81,0.11433727844848618
ECG200,0,noise,0.05,0.05,aug_split_cp,1,0.0,100,2,0.96,1.47,0.53,0.9245283018867925,0.0,0.86,0.09367895071466872
ECG200,0,noise,0.05,0.05,fast_cp_mixed,1,0.0,100,2,0.96,1.48,0.52,0.9230769230769231,0.0,0.86,0.09367895071466872
ECG200,0,noise,0.05,0.05,smoothing_proxy_cp,8,12.500455856323242,100,2,0.96,1.53,0.47,0.9148936170212766,0.0,0.86,0.10212452804418276
ECG200,0,noise,0.1,0.05,aug_split_cp,1,0.0,100,2,0.97,1.47,0.53,0.9433962264150944,0.0,0.82,0.13782659974132982
ECG200,0,noise,0.1,0.05,fast_cp_mixed,1,0.0,100,2,0.96,1.47,0.53,0.9245283018867925,0.0,0.82,0.13782659974132982
ECG200,0,noise,0.1,0.05,smoothing_proxy_cp,8,12.471388101577759,100,2,0.98,1.53,0.47,0.9574468085106383,0.0,0.83,0.10754432350952514
