dataset,seed,corruption,severity,alpha,method,n_train,n_calib,n_aug_calib,n_test,n_classes,coverage,avg_set_size,singleton_rate,singleton_accuracy,empty_rate,top1_accuracy,ece
MoteStrain,0,gap,0.05,0.05,clean_split_cp,13,7,70,1252,2,0.994408945686901,1.505591054313099,0.49440894568690097,0.9886914378029079,0.0,0.90814696485623,0.017886776836748317
MoteStrain,0,gap,0.05,0.05,aug_split_cp,13,7,70,1252,2,0.994408945686901,1.571884984025559,0.4281150159744409,0.9869402985074627,0.0,0.90814696485623,0.017886776836748317
MoteStrain,0,gap,0.05,0.05,aps_aug_cp,13,7,70,1252,2,1.0,2.0,0.0,0.0,0.0,0.90814696485623,0.017886776836748317
MoteStrain,0,gap,0.05,0.05,raps_aug_cp,13,7,70,1252,2,1.0,2.0,0.0,0.0,0.0,0.90814696485623,0.017886776836748317
MoteStrain,0,gap,0.05,0.05,mondrian_corruption_cp,13,7,70,1252,2,0.9960063897763578,1.7124600638977636,0.28753993610223644,0.9861111111111112,0.0,0.90814696485623,0.017886776836748317
MoteStrain,0,gap,0.05,0.05,label_smooth_aug_cp,13,7,70,1252,2,0.994408945686901,1.571884984025559,0.4281150159744409,0.9869402985074627,0.0,0.90814696485623,0.017886776836748317
MoteStrain,0,gap,0.05,0.05,confidence_weighted_cp,13,7,70,1252,2,0.9888178913738019,1.5303514376996805,0.4696485623003195,0.9761904761904762,0.0,0.90814696485623,0.017886776836748317
MoteStrain,0,gap,0.05,0.05,fast_cp,13,7,70,1252,2,0.994408945686901,1.5335463258785942,0.46645367412140576,0.988013698630137,0.0,0.90814696485623,0.017886776836748317
MoteStrain,0,gap,0.05,0.05,fast_cp_mixed,13,7,70,1252,2,0.994408945686901,1.5471246006389776,0.4528753993610224,0.9876543209876543,0.0,0.90814696485623,0.017886776836748317
MoteStrain,0,gap,0.05,0.05,fast_cp_mixed_no_missing,13,7,70,1252,2,0.994408945686901,1.5455271565495208,0.4544728434504792,0.9876977152899824,0.0,0.90814696485623,0.017886776836748317
MoteStrain,0,gap,0.05,0.05,fast_cp_mixed_no_spectral,13,7,70,1252,2,0.994408945686901,1.5463258785942493,0.4536741214057508,0.9876760563380281,0.0,0.90814696485623,0.017886776836748317
MoteStrain,0,gap,0.05,0.05,fast_cp_mixed_no_drift,13,7,70,1252,2,0.994408945686901,1.5463258785942493,0.4536741214057508,0.9876760563380281,0.0,0.90814696485623,0.017886776836748317
MoteStrain,0,gap,0.05,0.05,fast_cp_mixed_no_confidence,13,7,70,1252,2,0.994408945686901,1.5047923322683705,0.4952076677316294,0.9887096774193549,0.0,0.90814696485623,0.017886776836748317
MoteStrain,0,gap,0.1,0.05,clean_split_cp,13,7,70,1252,2,0.994408945686901,1.512779552715655,0.48722044728434505,0.9885245901639345,0.0,0.9009584664536742,0.012552814932413947
