alpha,corruption,metric,n_pairs,mean,median,ci95_low,ci95_high,wilcoxon_p,ttest_p,positive_rate
0.05,drift,set_size_reduction,510,0.11262761570798384,0.04558441558441545,0.09925615656858823,0.12630408371603863,3.4156858409153077e-60,3.9435706964723175e-48,0.7686274509803922
0.05,drift,coverage_delta,510,-0.008904927291680922,0.0,-0.011736111080256748,-0.00649283143599039,2.196867699248211e-24,5.7070117407000526e-11,0.09411764705882353
0.05,drift,abs_gap_delta,510,7.780231483601153e-05,0.0,-0.0016657410765507645,0.001985822057843853,0.0003633379621047275,0.9333750733146996,0.19215686274509805
0.05,gap,set_size_reduction,510,0.09266665795053813,0.025974025974025983,0.078498588793822,0.10700944586891407,7.394076384136329e-37,6.585730487049746e-31,0.7
0.05,gap,coverage_delta,510,-0.005716121197863184,0.0,-0.008232977293000855,-0.0034953374071628354,1.8134155055858096e-08,2.8695949870468817e-06,0.17058823529411765
0.05,gap,abs_gap_delta,510,-0.0006352990220061904,0.0,-0.0021541217644275796,0.0011018550826924819,4.3082669242227295e-05,0.44758368340528737,0.17450980392156862
0.05,noise,set_size_reduction,510,0.08070615316481657,0.020000000000000018,0.06734501236367883,0.09462721768374943,9.563313603645469e-32,1.509557102044789e-27,0.6431372549019608
0.05,noise,coverage_delta,510,-0.001956368752152792,0.0,-0.003946916616970981,2.896776924168928e-05,0.0011313534667491934,0.053044181124726406,0.1843137254901961
0.05,noise,abs_gap_delta,510,-0.0031728381919152696,0.0,-0.004892086384849872,-0.0015286181331508877,4.106908816063801e-08,0.0002543402109894084,0.17647058823529413
0.05,__overall__,set_size_reduction,1530,0.09533347560777952,0.028776978417266452,0.08750520403253466,0.10393381379574165,7.115908273957407e-124,3.4178965224642e-101,0.703921568627451
0.05,__overall__,coverage_delta,1530,-0.0055258057472323,0.0,-0.00691730930351397,-0.0042593820033540964,2.9946681230945106e-28,2.323172456231814e-15,0.14967320261437908
0.05,__overall__,abs_gap_delta,1530,-0.0012434449663618163,0.0,-0.0022111110214797446,-0.00020859137503246298,3.189870129105116e-14,0.014311767056800009,0.18104575163398692
