method,alpha,corruption,coverage,coverage_gap,abs_coverage_gap,avg_set_size,singleton_rate,top1_accuracy,ece
confidence_weighted_cp,0.05,drift,0.9607194814982908,-0.010719481498290825,0.03442483656089099,2.4671065835919976,0.31332539420216915,0.7152001790256536,0.19062539187819372
fast_cp_mixed_no_missing,0.05,drift,0.9565096662081275,-0.006509666208127622,0.03580631199238233,2.366395584556958,0.3722824399331866,0.7152001790256536,0.19062539187819372
fast_cp_mixed_no_drift,0.05,drift,0.9554645464258973,-0.005464546425897296,0.03632338383357101,2.3516682085012546,0.37177347474093525,0.7152001790256536,0.19062539187819372
aug_split_cp,0.05,drift,0.9642142633351803,-0.014214263335180388,0.03633355645507811,2.46305862708895,0.32257783502646187,0.7152001790256536,0.19062539187819372
label_smooth_aug_cp,0.05,drift,0.9642142633351803,-0.014214263335180388,0.03633355645507811,2.46305862708895,0.32257783502646187,0.7152001790256536,0.19062539187819372
fast_cp_mixed,0.05,drift,0.9553093360434994,-0.0053093360434994675,0.03641135876991412,2.350431011380966,0.37198247089362785,0.7152001790256536,0.19062539187819372
raps_aug_cp,0.05,drift,0.9788302436531615,-0.028830243653161582,0.03646807012324618,2.7518854640557073,0.07687356078272745,0.7152001790256536,0.19062539187819372
fast_cp_mixed_no_spectral,0.05,drift,0.9555099473830275,-0.005509947383027527,0.03652580168523235,2.3490909600371803,0.37242924310751285,0.7152001790256536,0.19062539187819372
aps_aug_cp,0.05,drift,0.979539042563633,-0.029539042563633083,0.038156483582594776,3.3027955925018775,0.052319182775920306,0.7152001790256536,0.19062539187819372
fast_cp_mixed_no_confidence,0.05,drift,0.9477462966538461,0.0022537033461538,0.03885740538934476,2.2975945136625735,0.38670081569780523,0.7152001790256536,0.19062539187819372
fast_cp,0.05,drift,0.9505229029062431,-0.0005229029062431738,0.03905230521835611,2.319386672889591,0.3801482893158418,0.7152001790256536,0.19062539187819372
mondrian_corruption_cp,0.05,drift,0.9526992580859472,-0.0026992580859472757,0.040678172706808124,2.3365353475897983,0.35068276615472527,0.7152001790256536,0.19062539187819372
clean_split_cp,0.05,drift,0.8768359588011038,0.07316404119889619,0.0920181332271704,1.951313444771275,0.49857079829282974,0.7152001790256536,0.19062539187819372
mondrian_corruption_cp,0.05,gap,0.953782465902509,-0.0037824659025089856,0.04173194744412355,2.7729101105866345,0.30320342722182675,0.7215126932283966,0.1804727725570518
aps_aug_cp,0.05,gap,0.9697428450917348,-0.01974284509173486,0.044986691486706004,3.247466142313638,0.05467839330869916,0.7215126932283966,0.1804727725570518
raps_aug_cp,0.05,gap,0.9660108782048965,-0.016010878204896554,0.04687339831551,2.7541435187823136,0.07294694089412314,0.7215126932283966,0.1804727725570518
confidence_weighted_cp,0.05,gap,0.9411330768993246,0.008866923100675354,0.047365771940725256,2.4552241508557047,0.31493139730262437,0.7215126932283966,0.1804727725570518
fast_cp_mixed_no_drift,0.05,gap,0.9372542197920026,0.012745780207997376,0.04951896851147105,2.349806810530004,0.37906640495560645,0.7215126932283966,0.1804727725570518
fast_cp_mixed_no_spectral,0.05,gap,0.9375496288361066,0.012450371163893371,0.04978797105603461,2.3518527243908554,0.3763797879991255,0.7215126932283966,0.1804727725570518
fast_cp_mixed,0.05,gap,0.9365750530499514,0.013424946950048543,0.05021879206324294,2.3446602535626058,0.38025874860228703,0.7215126932283966,0.1804727725570518
