dataset,seed,corruption,severity,alpha,method,n_train,n_calib,n_aug_calib,n_test,n_classes,coverage,avg_set_size,singleton_rate,singleton_accuracy,empty_rate,top1_accuracy,ece
ArrowHead,0,gap,0.05,0.05,clean_split_cp,23,13,130,175,3,0.9714285714285714,2.3257142857142856,0.1142857142857142,0.9,0.0,0.7428571428571429,0.136561409623603
ArrowHead,0,gap,0.05,0.05,aug_split_cp,23,13,130,175,3,0.9942857142857144,2.7542857142857144,0.0171428571428571,0.6666666666666666,0.0,0.7428571428571429,0.136561409623603
ArrowHead,0,gap,0.05,0.05,aps_aug_cp,23,13,130,175,3,0.9942857142857144,2.874285714285714,0.0,0.0,0.0,0.7428571428571429,0.136561409623603
ArrowHead,0,gap,0.05,0.05,raps_aug_cp,23,13,130,175,3,0.9942857142857144,2.874285714285714,0.0,0.0,0.0,0.7428571428571429,0.136561409623603
ArrowHead,0,gap,0.05,0.05,mondrian_corruption_cp,23,13,130,175,3,0.9828571428571428,2.5542857142857143,0.0457142857142857,0.75,0.0,0.7428571428571429,0.136561409623603
ArrowHead,0,gap,0.05,0.05,label_smooth_aug_cp,23,13,130,175,3,0.9942857142857144,2.7542857142857144,0.0171428571428571,0.6666666666666666,0.0,0.7428571428571429,0.136561409623603
ArrowHead,0,gap,0.05,0.05,confidence_weighted_cp,23,13,130,175,3,0.9828571428571428,2.6514285714285712,0.0171428571428571,0.6666666666666666,0.0,0.7428571428571429,0.136561409623603
ArrowHead,0,gap,0.05,0.05,fast_cp,23,13,130,175,3,0.9771428571428572,2.4857142857142858,0.0571428571428571,0.8,0.0,0.7428571428571429,0.136561409623603
ArrowHead,0,gap,0.05,0.05,fast_cp_mixed,23,13,130,175,3,0.9828571428571428,2.5485714285714285,0.0457142857142857,0.75,0.0,0.7428571428571429,0.136561409623603
ArrowHead,0,gap,0.05,0.05,fast_cp_mixed_no_missing,23,13,130,175,3,0.9828571428571428,2.5428571428571427,0.0457142857142857,0.75,0.0,0.7428571428571429,0.136561409623603
ArrowHead,0,gap,0.05,0.05,fast_cp_mixed_no_spectral,23,13,130,175,3,0.9828571428571428,2.5542857142857143,0.0457142857142857,0.75,0.0,0.7428571428571429,0.136561409623603
ArrowHead,0,gap,0.05,0.05,fast_cp_mixed_no_drift,23,13,130,175,3,0.9828571428571428,2.5428571428571427,0.0457142857142857,0.75,0.0,0.7428571428571429,0.136561409623603
ArrowHead,0,gap,0.05,0.05,fast_cp_mixed_no_confidence,23,13,130,175,3,0.9828571428571428,2.4857142857142858,0.0685714285714285,0.8333333333333334,0.0,0.7428571428571429,0.136561409623603
ArrowHead,0,gap,0.1,0.05,clean_split_cp,23,13,130,175,3,0.96,2.32,0.1371428571428571,0.75,0.0,0.6742857142857143,0.2026101446056151
ArrowHead,0,gap,0.1,0.05,aug_split_cp,23,13,130,175,3,0.9714285714285714,2.68,0.0628571428571428,0.5454545454545454,0.0,0.6742857142857143,0.2026101446056151
ArrowHead,0,gap,0.1,0.05,aps_aug_cp,23,13,130,175,3,0.9885714285714284,2.8914285714285715,0.0,0.0,0.0,0.6742857142857143,0.2026101446056151
ArrowHead,0,gap,0.1,0.05,raps_aug_cp,23,13,130,175,3,0.9885714285714284,2.8914285714285715,0.0,0.0,0.0,0.6742857142857143,0.2026101446056151
ArrowHead,0,gap,0.1,0.05,mondrian_corruption_cp,23,13,130,175,3,0.9657142857142856,2.5428571428571427,0.08,0.6428571428571429,0.0,0.6742857142857143,0.2026101446056151
ArrowHead,0,gap,0.1,0.05,label_smooth_aug_cp,23,13,130,175,3,0.9714285714285714,2.68,0.0628571428571428,0.5454545454545454,0.0,0.6742857142857143,0.2026101446056151
ArrowHead,0,gap,0.1,0.05,confidence_weighted_cp,23,13,130,175,3,0.96,2.5714285714285716,0.0628571428571428,0.5454545454545454,0.0,0.6742857142857143,0.2026101446056151
ArrowHead,0,gap,0.1,0.05,fast_cp,23,13,130,175,3,0.9657142857142856,2.474285714285714,0.0914285714285714,0.6875,0.0,0.6742857142857143,0.2026101446056151
ArrowHead,0,gap,0.1,0.05,fast_cp_mixed,23,13,130,175,3,0.9657142857142856,2.5428571428571427,0.0742857142857142,0.6153846153846154,0.0,0.6742857142857143,0.2026101446056151
ArrowHead,0,gap,0.1,0.05,fast_cp_mixed_no_missing,23,13,130,175,3,0.9657142857142856,2.537142857142857,0.0742857142857142,0.6153846153846154,0.0,0.6742857142857143,0.2026101446056151
ArrowHead,0,gap,0.1,0.05,fast_cp_mixed_no_spectral,23,13,130,175,3,0.9657142857142856,2.5428571428571427,0.0742857142857142,0.6153846153846154,0.0,0.6742857142857143,0.2026101446056151
ArrowHead,0,gap,0.1,0.05,fast_cp_mixed_no_drift,23,13,130,175,3,0.9657142857142856,2.537142857142857,0.0742857142857142,0.6153846153846154,0.0,0.6742857142857143,0.2026101446056151
ArrowHead,0,gap,0.1,0.05,fast_cp_mixed_no_confidence,23,13,130,175,3,0.96,2.4457142857142857,0.1085714285714285,0.6842105263157895,0.0,0.6742857142857143,0.2026101446056151
ArrowHead,0,gap,0.2,0.05,clean_split_cp,23,13,130,175,3,0.9314285714285714,2.257142857142857,0.1828571428571428,0.75,0.0,0.6171428571428571,0.2690531318325904
ArrowHead,0,gap,0.2,0.05,aug_split_cp,23,13,130,175,3,0.9542857142857144,2.5828571428571427,0.0914285714285714,0.625,0.0,0.6171428571428571,0.2690531318325904
ArrowHead,0,gap,0.2,0.05,aps_aug_cp,23,13,130,175,3,0.9771428571428572,2.8914285714285715,0.0,0.0,0.0,0.6171428571428571,0.2690531318325904
ArrowHead,0,gap,0.2,0.05,raps_aug_cp,23,13,130,175,3,0.9771428571428572,2.8914285714285715,0.0,0.0,0.0,0.6171428571428571,0.2690531318325904
ArrowHead,0,gap,0.2,0.05,mondrian_corruption_cp,23,13,130,175,3,0.9371428571428572,2.4914285714285715,0.12,0.6666666666666666,0.0,0.6171428571428571,0.2690531318325904
ArrowHead,0,gap,0.2,0.05,label_smooth_aug_cp,23,13,130,175,3,0.9542857142857144,2.5828571428571427,0.0914285714285714,0.625,0.0,0.6171428571428571,0.2690531318325904
ArrowHead,0,gap,0.2,0.05,confidence_weighted_cp,23,13,130,175,3,0.9428571428571428,2.5085714285714285,0.0914285714285714,0.625,0.0,0.6171428571428571,0.2690531318325904
ArrowHead,0,gap,0.2,0.05,fast_cp,23,13,130,175,3,0.9371428571428572,2.388571428571429,0.1428571428571428,0.72,0.0,0.6171428571428571,0.2690531318325904
ArrowHead,0,gap,0.2,0.05,fast_cp_mixed,23,13,130,175,3,0.9371428571428572,2.4685714285714284,0.1142857142857142,0.65,0.0,0.6171428571428571,0.2690531318325904
ArrowHead,0,gap,0.2,0.05,fast_cp_mixed_no_missing,23,13,130,175,3,0.9371428571428572,2.4914285714285715,0.1028571428571428,0.6111111111111112,0.0,0.6171428571428571,0.2690531318325904
ArrowHead,0,gap,0.2,0.05,fast_cp_mixed_no_spectral,23,13,130,175,3,0.9371428571428572,2.474285714285714,0.1142857142857142,0.65,0.0,0.6171428571428571,0.2690531318325904
ArrowHead,0,gap,0.2,0.05,fast_cp_mixed_no_drift,23,13,130,175,3,0.9371428571428572,2.4685714285714284,0.1142857142857142,0.65,0.0,0.6171428571428571,0.2690531318325904
ArrowHead,0,gap,0.2,0.05,fast_cp_mixed_no_confidence,23,13,130,175,3,0.9257142857142856,2.36,0.1542857142857142,0.7037037037037037,0.0,0.6171428571428571,0.2690531318325904
ArrowHead,0,noise,0.05,0.05,clean_split_cp,23,13,130,175,3,0.9828571428571428,2.537142857142857,0.0628571428571428,0.8181818181818182,0.0,0.7542857142857143,0.098471580050236
ArrowHead,0,noise,0.05,0.05,aug_split_cp,23,13,130,175,3,0.9885714285714284,2.8285714285714287,0.0171428571428571,0.3333333333333333,0.0,0.7542857142857143,0.098471580050236
ArrowHead,0,noise,0.05,0.05,aps_aug_cp,23,13,130,175,3,0.9885714285714284,2.902857142857143,0.0,0.0,0.0,0.7542857142857143,0.098471580050236
ArrowHead,0,noise,0.05,0.05,raps_aug_cp,23,13,130,175,3,0.9885714285714284,2.902857142857143,0.0,0.0,0.0,0.7542857142857143,0.098471580050236
ArrowHead,0,noise,0.05,0.05,mondrian_corruption_cp,23,13,130,175,3,0.9885714285714284,2.862857142857143,0.0171428571428571,0.3333333333333333,0.0,0.7542857142857143,0.098471580050236
ArrowHead,0,noise,0.05,0.05,label_smooth_aug_cp,23,13,130,175,3,0.9885714285714284,2.8285714285714287,0.0171428571428571,0.3333333333333333,0.0,0.7542857142857143,0.098471580050236
ArrowHead,0,noise,0.05,0.05,confidence_weighted_cp,23,13,130,175,3,0.9828571428571428,2.72,0.0171428571428571,0.3333333333333333,0.0,0.7542857142857143,0.098471580050236
ArrowHead,0,noise,0.05,0.05,fast_cp,23,13,130,175,3,0.9885714285714284,2.697142857142857,0.0285714285714285,0.6,0.0,0.7542857142857143,0.098471580050236
ArrowHead,0,noise,0.05,0.05,fast_cp_mixed,23,13,130,175,3,0.9885714285714284,2.7142857142857144,0.0285714285714285,0.6,0.0,0.7542857142857143,0.098471580050236
ArrowHead,0,noise,0.05,0.05,fast_cp_mixed_no_missing,23,13,130,175,3,0.9885714285714284,2.72,0.0285714285714285,0.6,0.0,0.7542857142857143,0.098471580050236
ArrowHead,0,noise,0.05,0.05,fast_cp_mixed_no_spectral,23,13,130,175,3,0.9885714285714284,2.7142857142857144,0.0285714285714285,0.6,0.0,0.7542857142857143,0.098471580050236
ArrowHead,0,noise,0.05,0.05,fast_cp_mixed_no_drift,23,13,130,175,3,0.9885714285714284,2.72,0.0285714285714285,0.6,0.0,0.7542857142857143,0.098471580050236
ArrowHead,0,noise,0.05,0.05,fast_cp_mixed_no_confidence,23,13,130,175,3,0.9885714285714284,2.72,0.0342857142857142,0.6666666666666666,0.0,0.7542857142857143,0.098471580050236
ArrowHead,0,noise,0.1,0.05,clean_split_cp,23,13,130,175,3,0.9828571428571428,2.5714285714285716,0.08,0.8571428571428571,0.0,0.6914285714285714,0.141963571312588
ArrowHead,0,noise,0.1,0.05,aug_split_cp,23,13,130,175,3,0.9942857142857144,2.8285714285714287,0.0171428571428571,0.6666666666666666,0.0,0.6914285714285714,0.141963571312588
ArrowHead,0,noise,0.1,0.05,aps_aug_cp,23,13,130,175,3,0.9942857142857144,2.9257142857142857,0.0,0.0,0.0,0.6914285714285714,0.141963571312588
ArrowHead,0,noise,0.1,0.05,raps_aug_cp,23,13,130,175,3,0.9942857142857144,2.9257142857142857,0.0,0.0,0.0,0.6914285714285714,0.141963571312588
ArrowHead,0,noise,0.1,0.05,mondrian_corruption_cp,23,13,130,175,3,0.9942857142857144,2.88,0.0057142857142857,0.0,0.0,0.6914285714285714,0.141963571312588
ArrowHead,0,noise,0.1,0.05,label_smooth_aug_cp,23,13,130,175,3,0.9942857142857144,2.8285714285714287,0.0171428571428571,0.6666666666666666,0.0,0.6914285714285714,0.141963571312588
ArrowHead,0,noise,0.1,0.05,confidence_weighted_cp,23,13,130,175,3,0.9942857142857144,2.777142857142857,0.0171428571428571,0.6666666666666666,0.0,0.6914285714285714,0.141963571312588
ArrowHead,0,noise,0.1,0.05,fast_cp,23,13,130,175,3,0.9885714285714284,2.6914285714285713,0.0514285714285714,0.7777777777777778,0.0,0.6914285714285714,0.141963571312588
ArrowHead,0,noise,0.1,0.05,fast_cp_mixed,23,13,130,175,3,0.9885714285714284,2.7257142857142855,0.04,0.7142857142857143,0.0,0.6914285714285714,0.141963571312588
ArrowHead,0,noise,0.1,0.05,fast_cp_mixed_no_missing,23,13,130,175,3,0.9885714285714284,2.7257142857142855,0.04,0.7142857142857143,0.0,0.6914285714285714,0.141963571312588
ArrowHead,0,noise,0.1,0.05,fast_cp_mixed_no_spectral,23,13,130,175,3,0.9885714285714284,2.7257142857142855,0.04,0.7142857142857143,0.0,0.6914285714285714,0.141963571312588
ArrowHead,0,noise,0.1,0.05,fast_cp_mixed_no_drift,23,13,130,175,3,0.9885714285714284,2.7314285714285713,0.0342857142857142,0.6666666666666666,0.0,0.6914285714285714,0.141963571312588
ArrowHead,0,noise,0.1,0.05,fast_cp_mixed_no_confidence,23,13,130,175,3,0.9885714285714284,2.7257142857142855,0.04,0.7142857142857143,0.0,0.6914285714285714,0.141963571312588
ArrowHead,0,noise,0.2,0.05,clean_split_cp,23,13,130,175,3,0.96,2.2742857142857145,0.1428571428571428,0.92,0.0,0.6,0.2471750066751004
ArrowHead,0,noise,0.2,0.05,aug_split_cp,23,13,130,175,3,0.9771428571428572,2.577142857142857,0.0571428571428571,0.9,0.0,0.6,0.2471750066751004
ArrowHead,0,noise,0.2,0.05,aps_aug_cp,23,13,130,175,3,0.9885714285714284,2.902857142857143,0.0,0.0,0.0,0.6,0.2471750066751004
ArrowHead,0,noise,0.2,0.05,raps_aug_cp,23,13,130,175,3,0.9885714285714284,2.902857142857143,0.0,0.0,0.0,0.6,0.2471750066751004
