alpha,corruption,metric,n_pairs,mean,median,ci95_low,ci95_high,wilcoxon_p,ttest_p,positive_rate
0.05,drift,set_size_reduction,525,0.9353808494406273,0.509493670886076,0.8005585130545448,1.0836854420505362,1.6892252290314526e-67,1.8975862876558972e-34,0.8609523809523809
0.05,drift,coverage_delta,525,-0.023754985862217734,-0.009523809523809601,-0.028345787687141487,-0.01928549520913843,6.142602070911093e-32,2.169720254271132e-22,0.1619047619047619
0.05,drift,abs_gap_delta,525,-0.0019128207749777154,-0.0031746031746031633,-0.005077463478889312,0.0015783061807211288,9.95556942707601e-10,0.26120028138725754,0.25333333333333335
0.05,gap,set_size_reduction,525,0.8872305128332705,0.5949367088607596,0.769716864440103,1.0140122061129138,4.76007702853924e-69,2.5491654948412855e-39,0.8666666666666667
0.05,gap,coverage_delta,525,-0.032455954015699895,-0.013698630136986356,-0.03722402649377542,-0.027595762969899736,3.1838839238590426e-38,2.9764979609839093e-33,0.1580952380952381
0.05,gap,abs_gap_delta,525,0.00484679881352558,0.0,0.0011741414324811434,0.008670382513900595,0.26719387131430594,0.011738125434954592,0.3295238095238095
0.05,noise,set_size_reduction,525,0.9805891393385887,0.5555555555555556,0.8449760376240818,1.129970914524668,5.244261542332183e-70,9.484986067715957e-36,0.8685714285714285
0.05,noise,coverage_delta,525,-0.03776252533574569,-0.015121951219511987,-0.04475853191370284,-0.03135657225054257,1.0407906627113435e-39,5.75221911806188e-26,0.14095238095238094
0.05,noise,abs_gap_delta,525,0.006904137990072107,-0.0007987220447284171,0.001827591829130197,0.01234256595806867,0.015634742812937346,0.008328514060327457,0.3142857142857143
0.05,__overall__,set_size_reduction,1575,0.9344001672041622,0.5357142857142858,0.859339622788786,1.015552974536104,1.073958893666714e-202,3.3292318306972983e-105,0.8653968253968254
0.05,__overall__,coverage_delta,1575,-0.031324488404554436,-0.012987012987012991,-0.034575857390571604,-0.028296144998555994,3.141414816352323e-106,2.0158899120559834e-75,0.15365079365079365
0.05,__overall__,abs_gap_delta,1575,0.0032793720095399908,-0.0021739130434784704,0.0008982059674716173,0.005726155380412022,5.345261328826262e-08,0.007328192972065135,0.29904761904761906
