alpha,corruption,metric,n_pairs,mean,median,ci95_low,ci95_high,wilcoxon_p,ttest_p,positive_rate
0.05,drift,set_size_reduction,525,0.1104655183049777,0.045454545454545414,0.0976254694017585,0.123625858259749,1.2771363046985848e-62,7.488193715724383e-49,0.7752380952380953
0.05,drift,coverage_delta,525,-0.008671800052158988,0.0,-0.011456046879643137,-0.006257469160445132,4.347642112255854e-25,5.233706346870072e-11,0.09142857142857143
0.05,drift,abs_gap_delta,525,5.428013702889087e-05,0.0,-0.0016763814375127517,0.0019186202751446397,0.0002008772604639981,0.9521235648026781,0.18666666666666668
0.05,gap,set_size_reduction,525,0.09099271935885839,0.02597402597402576,0.07664196186701387,0.10524344460448384,1.299776392331585e-38,1.810620448624214e-31,0.7085714285714285
0.05,gap,coverage_delta,525,-0.005583230955818653,0.0,-0.008034801587228406,-0.0033819934705990175,9.10019028117422e-09,2.542595336706381e-06,0.1657142857142857
0.05,gap,abs_gap_delta,525,-0.000647575127843287,0.0,-0.0021963024803838354,0.0010149995851004205,1.7864043412389603e-05,0.42552194616059336,0.16952380952380952
0.05,noise,set_size_reduction,525,0.07937090053065371,0.021463414634145916,0.06664285453580931,0.09280158129593825,1.4776585970792162e-33,3.822147897611354e-28,0.6533333333333333
0.05,noise,coverage_delta,525,-0.0019232931319406671,0.0,-0.003914400755336642,-1.6382010108841278e-05,0.0005956123221838946,0.05025559022155167,0.17904761904761904
0.05,noise,abs_gap_delta,525,-0.003105006301995646,0.0,-0.004709879248228721,-0.0014585571419864858,2.462770064327902e-08,0.00022910229771055208,0.17142857142857143
0.05,__overall__,set_size_reduction,1575,0.0936097127314966,0.029268292682926855,0.08595349844519443,0.10128478258178704,7.507421973870371e-130,4.456110175555783e-103,0.7123809523809523
0.05,__overall__,coverage_delta,1575,-0.005392774713306103,0.0,-0.006744620094487652,-0.004104672951015245,1.4999321583514865e-29,1.7527956318663759e-15,0.14539682539682539
0.05,__overall__,abs_gap_delta,1575,-0.0012327670976033478,0.0,-0.0021911643476528494,-0.00024916504081642693,4.3962042453269126e-15,0.012431272783990071,0.17587301587301588
