alpha,corruption,metric,n_pairs,mean,median,ci95_low,ci95_high,wilcoxon_p,ttest_p,positive_rate
0.05,drift,set_size_reduction,525,0.1123865607305459,0.05830903790087483,0.09183653852722895,0.13364309121026807,6.480624737643626e-29,1.2603443694322194e-23,0.6971428571428572
0.05,drift,coverage_delta,525,-0.004682011373487566,0.0,-0.007955615854035838,-0.001479193689475442,4.4442372892807365e-07,0.004783234913572457,0.25523809523809526
0.05,drift,abs_gap_delta,525,0.002271465329233909,0.0,6.12473180041674e-05,0.004562767950064677,0.5199971852154881,0.04651595576843299,0.3485714285714286
0.05,gap,set_size_reduction,525,0.10639473558434406,0.0437317784256559,0.08478394691816762,0.12937266001177294,4.283346700249778e-22,9.096719375807739e-19,0.6723809523809524
0.05,gap,coverage_delta,525,-0.003840543721743144,0.0,-0.007051292652809708,-0.0007932391848597309,0.0001253945000496231,0.015495124278489928,0.30095238095238097
0.05,gap,abs_gap_delta,525,0.0030204022647649384,0.0,0.0007055451643856477,0.005283277215244244,0.010292818933591765,0.009732947560739062,0.38666666666666666
0.05,noise,set_size_reduction,525,0.08535224140618453,0.033333333333333215,0.0626255141855778,0.10902530808943739,1.0026043382654108e-13,1.6672222032606172e-12,0.6190476190476191
0.05,noise,coverage_delta,525,-0.0006620599518330954,0.0,-0.004621187149930801,0.002982689247162371,0.005226766284632556,0.7281021573516528,0.30857142857142855
0.05,noise,abs_gap_delta,525,-0.0005464214776511798,0.0,-0.003493051222964337,0.002415600866560805,0.7923329388036008,0.7133645643156841,0.34476190476190477
0.05,__overall__,set_size_reduction,1575,0.10137784590702484,0.043165467625899456,0.08893017749790517,0.11424901365834537,4.184482911007593e-60,3.0400615412344705e-50,0.6628571428571428
0.05,__overall__,coverage_delta,1575,-0.003061538349021269,0.0,-0.004976079777217521,-0.0012296926948210034,1.9123521293825172e-11,0.00206674215008223,0.28825396825396826
0.05,__overall__,abs_gap_delta,1575,0.0015818153721158892,0.0,0.00016552428420192876,0.002982420242509121,0.0897554700499386,0.03165158189196753,0.36
