alpha,corruption,metric,n_pairs,mean,median,ci95_low,ci95_high,wilcoxon_p,ttest_p,positive_rate
0.05,drift,set_size_reduction,525,-0.01208832990101392,0.0,-0.04997964804637226,0.02582719381475874,0.10669065103537644,0.5315902896912696,0.43238095238095237
0.05,drift,coverage_delta,525,0.002477692039337023,0.0,-0.0017937241202642905,0.006771673764110828,0.08998256157209143,0.24673802045495222,0.3923809523809524
0.05,drift,abs_gap_delta,525,-0.004202717229553568,0.0,-0.007737235441119463,-0.0005583046794258217,0.00022405126460935866,0.02296185935982517,0.29904761904761906
0.05,gap,set_size_reduction,525,0.41789456672293107,0.1333333333333333,0.3345614636163936,0.5040712440978266,4.057250418301747e-27,1.5629694786166814e-20,0.6666666666666666
0.05,gap,coverage_delta,525,-0.016743157241160857,-0.007194244604316391,-0.021130038740427865,-0.01240179091514552,1.3781149470549038e-14,2.711493886218364e-13,0.22857142857142856
0.05,gap,abs_gap_delta,525,0.008216978588468146,0.0,0.004794593257471232,0.011649501012167263,0.0011375807628697513,4.15600533996531e-06,0.4247619047619048
0.05,noise,set_size_reduction,525,0.128254712107332,0.04615384615384688,0.09144296116675128,0.1668774993327126,3.22154569064599e-14,7.64926805826893e-11,0.6228571428571429
0.05,noise,coverage_delta,525,-0.01759319201371152,0.0,-0.0238544323444621,-0.011572688344633417,8.485292268684212e-08,4.4151845041051734e-08,0.26285714285714284
0.05,noise,abs_gap_delta,525,0.00718482035895435,0.0,0.002061045062667136,0.012714967833355838,0.24738063065954086,0.009575984938756844,0.31238095238095237
0.05,__overall__,set_size_reduction,1575,0.1780203163097497,0.0320699708454808,0.14295351974754889,0.2127354997765022,4.688129224949639e-26,2.3200981264317846e-23,0.573968253968254
0.05,__overall__,coverage_delta,1575,-0.01061955240517845,0.0,-0.013584721316961774,-0.0077303104140336205,4.726069041140485e-13,1.6779192062506821e-12,0.2946031746031746
0.05,__overall__,abs_gap_delta,1575,0.0037330272392896435,0.0,0.0013748339018130069,0.00616686570858505,0.5217533794781517,0.0031195367002299504,0.3453968253968254
