alpha,corruption,metric,n_pairs,mean,median,ci95_low,ci95_high,wilcoxon_p,ttest_p,positive_rate
0.05,drift,set_size_reduction,525,0.015669708298089995,0.0,0.011051143561321582,0.020366975280135428,2.1080245712227874e-13,6.990392586523513e-11,0.4895238095238095
0.05,drift,coverage_delta,525,-0.0011675563923906427,0.0,-0.0019175232634504374,-0.0004520731511363363,7.982914519664618e-07,0.0023227228358775895,0.07809523809523809
0.05,drift,abs_gap_delta,525,0.0005862383514218731,0.0,-0.0001037807011253501,0.0013397660518334117,0.12637640068028225,0.1175130309472645,0.17333333333333334
0.05,gap,set_size_reduction,525,-0.012118580138326633,0.0,-0.016253849894347375,-0.008137455136427052,1.5344475423840173e-08,1.0036937918314574e-08,0.26095238095238094
0.05,gap,coverage_delta,525,0.0012194355127168955,0.0,0.0006043128842963236,0.0019041390199848519,0.0006791094152858146,0.00029657258387625994,0.14666666666666667
0.05,gap,abs_gap_delta,525,-0.0011734543533039197,0.0,-0.0017772302155217399,-0.0006087891426837083,6.140322233010895e-05,8.246346209243745e-05,0.10285714285714286
0.05,noise,set_size_reduction,525,0.01623389618442032,0.0019436345966956647,0.011938290132161588,0.02082400460597459,6.929033016440799e-20,3.752420475875188e-12,0.5104761904761905
0.05,noise,coverage_delta,525,-0.0019137892634805875,0.0,-0.002539936286637924,-0.001323186386226182,3.783252837369049e-14,3.532506965468736e-09,0.05333333333333334
0.05,noise,abs_gap_delta,525,0.0009646595182355294,0.0,0.0003630343756714822,0.001629091491025606,0.002646492435188875,0.002413547724101353,0.19047619047619047
0.05,__overall__,set_size_reduction,1575,0.006595008114727895,0.0,0.004075890965894936,0.009116593610544685,7.273738058084446e-12,8.771050100740503e-07,0.4203174603174603
0.05,__overall__,coverage_delta,1575,-0.0006206367143847784,0.0,-0.001004012599274578,-0.00023618143019287174,2.5169517305676692e-08,0.0022081306775767226,0.0926984126984127
0.05,__overall__,abs_gap_delta,1575,0.00012581450545116096,0.0,-0.00021841441469247434,0.0005001337032187411,0.6602096479803321,0.5124627141610377,0.15555555555555556
