alpha,corruption,metric,n_pairs,mean,median,ci95_low,ci95_high,wilcoxon_p,ttest_p,positive_rate
0.05,drift,set_size_reduction,525,-0.0012972000365651499,0.0,-0.002826971993548341,0.00021564868044896782,0.03090473997607684,0.09905184277996602,0.2723809523809524
0.05,drift,coverage_delta,525,-0.00018879408567694538,0.0,-0.0005695828101841244,0.00017436094965127586,0.5566395678169285,0.29598561704279286,0.10285714285714286
0.05,drift,abs_gap_delta,525,-0.00010508761644453721,0.0,-0.0004466324343504983,0.0002403911457007067,0.5050029274764714,0.5517403840638117,0.09523809523809523
0.05,gap,set_size_reduction,525,0.007035655672073345,0.0,0.005430223419400689,0.00874386396451443,1.0156041937177182e-17,2.9475266418565753e-15,0.4419047619047619
0.05,gap,coverage_delta,525,-0.0009467307636935956,0.0,-0.0013187613372397436,-0.0006179170582639578,2.026920267295223e-10,1.8149907487027138e-07,0.047619047619047616
0.05,gap,abs_gap_delta,525,0.00041851183557380117,0.0,8.560599029864469e-05,0.0007811988426673311,0.007109879595416538,0.02102240141877311,0.12571428571428572
0.05,noise,set_size_reduction,525,-0.004879230929214187,0.0,-0.006936093223222236,-0.003018172901699859,2.6210706441099746e-10,7.507008396054452e-07,0.18476190476190477
0.05,noise,coverage_delta,525,9.008992919028267e-05,0.0,-0.0002626650131922487,0.00044123134665894205,0.13201051596477495,0.6264811870217177,0.14095238095238094
0.05,noise,abs_gap_delta,525,-6.369143902150698e-05,0.0,-0.0004075632823127065,0.00029596342777948534,0.46259274496790337,0.7237217345350963,0.10857142857142857
0.05,__overall__,set_size_reduction,1575,0.0002864082354313362,0.0,-0.0007577423204163502,0.0012943188682288428,0.8137943008203394,0.5833038173800628,0.29968253968253966
0.05,__overall__,coverage_delta,1575,-0.00034847830672675277,0.0,-0.0005594456847108016,-0.0001484044287026643,0.0031438251837180536,0.0009573285477116624,0.09714285714285714
0.05,__overall__,abs_gap_delta,1575,8.324426003591899e-05,0.0,-0.00011627965886466197,0.0002895517530754909,0.5224744595388588,0.4214753534303267,0.10984126984126984
