alpha,corruption,metric,n_pairs,mean,median,ci95_low,ci95_high,wilcoxon_p,ttest_p,positive_rate
0.05,drift,set_size_reduction,525,0.4002110103786334,0.37142857142857144,0.3551705787574479,0.4436119236277546,9.858695092505787e-52,5.289473048985686e-54,0.820952380952381
0.05,drift,coverage_delta,525,-0.023066438349188277,-0.009523809523809601,-0.027615550004697873,-0.01868257827644214,3.7206592205136934e-28,6.056300701426812e-22,0.18857142857142858
0.05,drift,abs_gap_delta,525,-0.0002726477001819332,-0.0031645569620252223,-0.0034098115906910018,0.003131248837947841,1.6596736987168745e-06,0.8717934169948477,0.26285714285714284
0.05,gap,set_size_reduction,525,0.40800282140284144,0.3904761904761904,0.3660287760133125,0.4485094366024434,5.221049231242135e-56,6.519719051369244e-62,0.8361904761904762
0.05,gap,coverage_delta,525,-0.028830614754199818,-0.010256410256410442,-0.03343891774349242,-0.024169841840688044,3.547624523432193e-33,2.8081278104821806e-29,0.18857142857142858
0.05,gap,abs_gap_delta,525,0.0030139978941159857,0.0,-0.00022376321442226906,0.0065465436661950585,0.05400332203018327,0.0787432802996308,0.3333333333333333
0.05,noise,set_size_reduction,525,0.4221720132808717,0.3533333333333333,0.3768725283526274,0.46811406376600545,6.694689922649574e-54,1.249831715591018e-57,0.8361904761904762
0.05,noise,coverage_delta,525,-0.034648291167157515,-0.009493670886076,-0.0418673861817922,-0.028119846596250712,1.4162445845131271e-25,3.433029822152903e-21,0.21142857142857144
0.05,noise,abs_gap_delta,525,0.007812636468791864,-1.1102230246251565e-16,0.0026431090414748984,0.013452978737795208,0.01149408786508163,0.003947624462718325,0.32
0.05,__overall__,set_size_reduction,1575,0.4101286150207822,0.3800000000000001,0.38484090171521695,0.435627970539904,7.654821003233699e-158,1.6559970022213868e-169,0.8311111111111111
0.05,__overall__,coverage_delta,1575,-0.02884844809018187,-0.010000000000000009,-0.03204383476542426,-0.025805673711800304,8.024842745947051e-83,4.121872946150646e-65,0.1961904761904762
0.05,__overall__,abs_gap_delta,1575,0.003517995554241972,-0.0019512195121950127,0.0012045871337496646,0.00589940128392055,1.1287638060909282e-07,0.0036059943451823774,0.3053968253968254
