method,alpha,corruption,coverage,coverage_gap,abs_coverage_gap,avg_set_size,singleton_rate,top1_accuracy,ece
confidence_weighted_cp,0.05,drift,0.961050666858799,-0.011050666858799116,0.03431058366173759,2.4425785725774567,0.3149376703270486,0.7204467036535225,0.1860716661491917
fast_cp_mixed_no_missing,0.05,drift,0.9575362118777022,-0.0075362118777021906,0.035995810639549625,2.3458617201450007,0.37171121793114,0.7204467036535225,0.1860716661491917
fast_cp_mixed_no_drift,0.05,drift,0.9565194312853551,-0.006519431285355153,0.03649658762423819,2.3313330054651167,0.37143891539872503,0.7204467036535225,0.1860716661491917
aug_split_cp,0.05,drift,0.9650404555374705,-0.015040455537470536,0.0365277688539426,2.4406575301518885,0.322532175903083,0.7204467036535225,0.1860716661491917
label_smooth_aug_cp,0.05,drift,0.9650404555374705,-0.015040455537470536,0.0365277688539426,2.4406575301518885,0.322532175903083,0.7204467036535225,0.1860716661491917
fast_cp_mixed,0.05,drift,0.9563686554853115,-0.006368655485311548,0.0365820489909715,2.330192011846911,0.37158108521983757,0.7204467036535225,0.1860716661491917
fast_cp_mixed_no_spectral,0.05,drift,0.9565574495709884,-0.006557449570988493,0.03668713660741603,2.3288948118103456,0.372010528387356,0.7204467036535225,0.1860716661491917
raps_aug_cp,0.05,drift,0.9794350938344999,-0.029435093834499822,0.036854696691153425,2.7304030222255444,0.07467717333179238,0.7204467036535225,0.1860716661491917
aps_aug_cp,0.05,drift,0.9801236413475293,-0.03012364134752928,0.03849486976594921,3.2655728612875383,0.05082434898232258,0.7204467036535225,0.1860716661491917
fast_cp_mixed_no_confidence,0.05,drift,0.9490140960587461,0.000985903941253802,0.038950601687516226,2.2785015196467766,0.38624251458901965,0.7204467036535225,0.1860716661491917
fast_cp,0.05,drift,0.9516976783260221,-0.0016976783260222003,0.03912624057207477,2.299598019737504,0.3799502292620589,0.7204467036535225,0.1860716661491917
mondrian_corruption_cp,0.05,drift,0.9538909634459746,-0.0038909634459745254,0.040784766220525064,2.3181036819458973,0.3494796285487832,0.7204467036535225,0.1860716661491917
clean_split_cp,0.05,drift,0.8800354425888951,0.06996455741110481,0.09049812631707414,1.9406688890238162,0.49636151852417115,0.7204467036535225,0.1860716661491917
mondrian_corruption_cp,0.05,gap,0.9548945384574319,-0.004894538457431976,0.041759749097857554,2.7424883064229086,0.3028791303053108,0.7264769281609551,0.1762743886445531
aps_aug_cp,0.05,gap,0.970607335231971,-0.020607335231971006,0.04512992887280012,3.211824252533248,0.053116153499879186,0.7264769281609551,0.1762743886445531
confidence_weighted_cp,0.05,gap,0.9419919249380142,0.00800807506198574,0.04695632542156076,2.430988475284322,0.31652669375577624,0.7264769281609551,0.1762743886445531
raps_aug_cp,0.05,gap,0.966981995970471,-0.016981995970470936,0.04696272979220971,2.732596561102819,0.07086274258286247,0.7264769281609551,0.1762743886445531
fast_cp_mixed_no_drift,0.05,gap,0.9388065790682938,0.011193420931706196,0.04929233496720598,2.3295749956787133,0.3784732707930227,0.7264769281609551,0.1762743886445531
fast_cp_mixed_no_spectral,0.05,gap,0.9390981119799646,0.010901888020035288,0.049558215850751895,2.3316293953720506,0.3757964738067878,0.7264769281609551,0.1762743886445531
fast_cp_mixed,0.05,gap,0.9381513812162711,0.011848618783728884,0.049976727686325696,2.3245937396999774,0.37961329097449004,0.7264769281609551,0.1762743886445531
aug_split_cp,0.05,gap,0.9437346121720898,0.00626538782791023,0.050624302814168985,2.415586459058836,0.32458384088989733,0.7264769281609551,0.1762743886445531
