dataset,alpha,n,set_size_win_rate,coverage_close_rate,abs_gap_win_rate,avg_set_size_candidate,avg_set_size_baseline,avg_coverage_candidate,avg_coverage_baseline
__OVERALL__,0.05,1575,0.7123809523809523,0.7339682539682539,0.8241269841269842,2.3251905841301808,2.418800296861677,0.9447363257697671,0.9501291004830732
MoteStrain,0.05,45,1.0,1.0,1.0,1.6731984380546683,1.7082002129925453,0.9924210152644657,0.9932907348242812
ECGFiveDays,0.05,45,0.9555555555555556,0.8666666666666667,0.8444444444444444,1.1379274745128403,1.2349722544844497,0.9726416311782166,0.9770809136662796
BME,0.05,45,0.9555555555555556,0.5777777777777777,0.7333333333333333,1.3642962962962963,1.5638518518518518,0.951111111111111,0.9654814814814815
Beef,0.05,45,0.9333333333333333,0.6,0.9111111111111111,3.597777777777778,3.9718518518518517,0.9385185185185185,0.9540740740740742
ArrowHead,0.05,45,0.9333333333333333,0.6222222222222222,0.8222222222222222,2.452825396825397,2.5894603174603175,0.9509841269841269,0.9619047619047619
FaceFour,0.05,45,0.9111111111111111,0.2222222222222222,0.6444444444444445,1.7618686868686868,1.89520202020202,0.9338383838383838,0.9404040404040402
GunPointOldVersusYoung,0.05,45,0.8888888888888888,0.7555555555555555,0.9333333333333333,1.6051499118165784,1.7178835978835978,0.9429982363315695,0.9446208112874779
GunPointAgeSpan,0.05,45,0.8888888888888888,0.6222222222222222,0.9111111111111111,1.3568213783403658,1.511111111111111,0.9447960618846695,0.94957805907173
MiddlePhalanxTW,0.05,45,0.8888888888888888,0.6666666666666666,0.8222222222222222,5.084704184704185,5.324819624819625,0.938961038961039,0.945021645021645
CricketX,0.05,45,0.8888888888888888,0.9111111111111111,0.6444444444444445,4.561709401709402,4.641196581196581,0.9304273504273504,0.9317378917378918
Coffee,0.05,45,0.8666666666666667,0.6666666666666666,0.8222222222222222,1.3277777777777777,1.5698412698412698,0.9452380952380952,0.9634920634920636
DistalPhalanxTW,0.05,45,0.8444444444444444,0.7333333333333333,0.8,3.7849720223820946,3.9099920063948845,0.9322142286171062,0.9347721822541966
FaceAll,0.05,45,0.8444444444444444,0.4,0.4888888888888889,1.5530309007232086,1.609007232084155,0.907258382642998,0.9130177514792899
CricketZ,0.05,45,0.8222222222222222,0.9111111111111111,0.7333333333333333,4.503304843304843,4.636752136752137,0.9333333333333333,0.936068376068376
DistalPhalanxOutlineAgeGroup,0.05,45,0.8,0.8888888888888888,0.8888888888888888,2.3760191846522782,2.3993605115907273,0.9435651478816945,0.9437250199840128
Fish,0.05,45,0.7777777777777778,0.7333333333333333,0.9555555555555556,6.1860317460317455,6.433904761904762,0.9475555555555556,0.9522539682539682
CricketY,0.05,45,0.7777777777777778,0.8888888888888888,0.9333333333333333,4.595156695156695,4.75019943019943,0.9621082621082622,0.9646723646723646
MiddlePhalanxOutlineCorrect,0.05,45,0.7777777777777778,0.7333333333333333,0.8888888888888888,1.9179839633447882,1.9279877815960291,0.973577701412753,0.9747995418098511
GunPoint,0.05,45,0.7555555555555555,0.8222222222222222,0.8888888888888888,1.3922962962962964,1.4832592592592593,0.9632592592592591,0.9671111111111111
BeetleFly,0.05,45,0.7333333333333333,0.6666666666666666,0.8666666666666667,1.5888888888888888,1.691111111111111,0.9577777777777778,0.9777777777777777
MiddlePhalanxOutlineAgeGroup,0.05,45,0.7111111111111111,0.6888888888888889,0.7777777777777778,2.591341991341991,2.6157287157287157,0.898989898989899,0.9031746031746033
GunPointMaleVersusFemale,0.05,45,0.6888888888888889,0.8444444444444444,0.9555555555555556,1.1361462728551337,1.1632911392405063,0.940295358649789,0.9374120956399438
Chinatown,0.05,45,0.6666666666666666,0.7333333333333333,0.7111111111111111,1.034402332361516,1.0719792678976352,0.9537414965986394,0.9609329446064141
FacesUCR,0.05,45,0.6666666666666666,0.8,0.5111111111111111,1.88979945799458,2.0246829268292683,0.9248780487804877,0.9268726287262873
Lightning7,0.05,45,0.6,0.7777777777777778,0.9111111111111111,3.0350076103500765,3.050837138508371,0.9385083713850837,0.9403348554033485
BirdChicken,0.05,45,0.5555555555555556,0.7555555555555555,0.8222222222222222,1.7211111111111113,1.9166666666666667,0.9388888888888889,0.9822222222222223
Herring,0.05,45,0.5333333333333333,0.6,0.8888888888888888,1.8371527777777779,1.8736111111111111,0.9395833333333333,0.9486111111111111
Ham,0.05,45,0.5333333333333333,0.9111111111111111,0.7777777777777778,1.5746031746031748,1.590899470899471,0.8969312169312169,0.9011640211640212
ECG200,0.05,45,0.4888888888888889,0.6888888888888889,0.8666666666666667,1.276,1.2817777777777777,0.9448888888888888,0.9446666666666667
CBF,0.05,45,0.4666666666666667,0.6888888888888889,0.6444444444444445,1.1260000000000001,1.1142962962962963,0.9523456790123457,0.9449382716049382
DistalPhalanxOutlineCorrect,0.05,45,0.4,0.8666666666666667,0.9111111111111111,1.8682769726247985,1.865378421900161,0.9648953301127213,0.9635265700483092
MedicalImages,0.05,45,0.4,1.0,0.8,2.7801461988304093,2.7855847953216375,0.9338011695906433,0.9335964912280701
Meat,0.05,45,0.35555555555555557,0.8222222222222222,0.9333333333333333,2.9392592592592597,3.0,0.9851851851851853,1.0
Earthquakes,0.05,45,0.3333333333333333,0.9555555555555556,0.9111111111111111,1.75171862509992,1.7555555555555555,0.9544364508393285,0.9545963229416468
ItalyPowerDemand,0.05,45,0.28888888888888886,0.26666666666666666,0.8888888888888888,0.9989633948817622,0.9777561818378144,0.9358168664291113,0.9215851419933053
