method,corruption,severity,n_cells,coverage,avg_set_size,abs_gap
Aug SCP / FAST-CP-safe,drift,0.1,175,0.9778129472270279,2.473391603034044,0.03485560324521315
FAST-CP-efficient,drift,0.1,175,0.9723679713120252,2.3589104720801726,0.03296943867645546
Aug SCP / FAST-CP-safe,drift,0.2,175,0.9717276521606917,2.4596263574877986,0.031837330622944374
FAST-CP-efficient,drift,0.2,175,0.9661159041337448,2.355241990661253,0.03145341141699573
Aug SCP / FAST-CP-safe,drift,0.4,175,0.9456790606073457,2.3885538653746723,0.04276832843417101
FAST-CP-efficient,drift,0.4,175,0.9308043603418212,2.2784808325827037,0.04577409020941586
Aug SCP / FAST-CP-safe,gap,0.05,175,0.9750722885436113,2.462426025005962,0.0356318957955605
FAST-CP-efficient,gap,0.05,175,0.9717802145969722,2.352973362786109,0.03473623057486695
Aug SCP / FAST-CP-safe,gap,0.1,175,0.9604844061329032,2.455866880748138,0.03555642198294545
FAST-CP-efficient,gap,0.1,175,0.9546335931728225,2.356924823871037,0.035029433034813096
Aug SCP / FAST-CP-safe,gap,0.2,175,0.8956397356895324,2.3269362122944366,0.0808335270127216
FAST-CP-efficient,gap,0.2,175,0.8880721116427697,2.26201900641717,0.08016991846665428
Aug SCP / FAST-CP-safe,noise,0.05,175,0.9793193405444405,2.48693922358879,0.03534980960751911
FAST-CP-efficient,noise,0.05,175,0.9749255062994581,2.3764034821748083,0.03407178752816359
Aug SCP / FAST-CP-safe,noise,0.1,175,0.969130024003197,2.455681228382268,0.03225369970596106
FAST-CP-efficient,noise,0.1,175,0.9613679195882956,2.354056439583075,0.03246935388859477
Aug SCP / FAST-CP-safe,noise,0.2,175,0.876145745058908,2.2567603945998274,0.09154070372479761
FAST-CP-efficient,noise,0.2,175,0.8831365874112806,2.233495505022155,0.08303952172409154
