alpha,corruption,metric,n_pairs,mean,median,ci95_low,ci95_high,wilcoxon_p,ttest_p,positive_rate
0.05,drift,set_size_reduction,525,0.9344877093342203,0.49,0.7982515483104791,1.0815142925358583,4.439616433415032e-68,2.3722241264950216e-34,0.8685714285714285
0.05,drift,coverage_delta,525,-0.0233368384913297,-0.008888888888889057,-0.028023762197469236,-0.018761110503291878,5.041367823764454e-31,1.8515192995754853e-21,0.17904761904761904
0.05,drift,abs_gap_delta,525,-0.0015244791240478636,-0.0031645569620252223,-0.004615921461947681,0.0019289171992201944,1.3566303045960192e-08,0.36397021217955305,0.2742857142857143
0.05,gap,set_size_reduction,525,0.8888090057954221,0.5949367088607596,0.7712535689833967,1.0143452199936054,1.0851322699282333e-69,2.1325199234388025e-39,0.8704761904761905
0.05,gap,coverage_delta,525,-0.031899454006474336,-0.01333333333333342,-0.0369185756805847,-0.027109835116858577,6.162916700810422e-38,5.057762912054357e-33,0.1580952380952381
0.05,gap,abs_gap_delta,525,0.004563275109575679,0.0,0.000837501438180747,0.008565069885319219,0.2309298342108269,0.019126995093495875,0.32761904761904764
0.05,noise,set_size_reduction,525,0.9791555816857282,0.5395683453237408,0.8395456640500926,1.1301103384877251,3.862471866141422e-70,1.4968281045121476e-35,0.8704761904761905
0.05,noise,coverage_delta,525,-0.03755167281400403,-0.015121951219511987,-0.04446497609188969,-0.03093358087612646,4.2500450286284066e-39,1.965951570081482e-25,0.1580952380952381
0.05,noise,abs_gap_delta,525,0.00650196858202461,-0.0011614401858304202,0.001560329535119824,0.01177286393039543,0.013881882818180119,0.012356434119468289,0.33714285714285713
0.05,__overall__,set_size_reduction,1575,0.9341507656051236,0.5333333333333332,0.8587464095037736,1.016149603127512,5.819924211922949e-204,5.86598094104247e-105,0.8698412698412699
0.05,__overall__,coverage_delta,1575,-0.03092932177060269,-0.012820512820512886,-0.034145111418368325,-0.027773061767367466,1.820602751493103e-104,1.4966622700219787e-73,0.16507936507936508
0.05,__overall__,abs_gap_delta,1575,0.003180254855850808,-0.0021739130434784704,0.0008418010893651729,0.005579510477710873,1.1648011672073356e-07,0.00908789629850695,0.313015873015873
