alpha,corruption,metric,n_pairs,mean,median,ci95_low,ci95_high,wilcoxon_p,ttest_p,positive_rate
0.05,drift,set_size_reduction,525,0.10964617685746186,0.043165467625899456,0.09695105176636402,0.12264345096284288,3.5790163742030106e-64,7.524850931355184e-49,0.7847619047619048
0.05,drift,coverage_delta,525,-0.008643808069158014,0.0,-0.011331249047127014,-0.006262729745901748,1.0075005371053205e-24,5.37060298092399e-11,0.08761904761904762
0.05,drift,abs_gap_delta,525,0.00024522600017950254,0.0,-0.0014450825962789575,0.00212240214502546,0.0009970647709734689,0.7847687858938879,0.19238095238095237
0.05,gap,set_size_reduction,525,0.09110397499140677,0.025974025974026205,0.07662210332989995,0.10564597663072939,3.726904567581935e-38,2.376831059033684e-31,0.6933333333333334
0.05,gap,coverage_delta,525,-0.005570170317827521,0.0,-0.008036988351534538,-0.0034169311408710685,6.766343923931511e-09,2.6751890230502527e-06,0.1619047619047619
0.05,gap,abs_gap_delta,525,-0.0006954209049644095,0.0,-0.002219709014944192,0.0010214948116005515,1.440159418898582e-05,0.3918137885213611,0.16380952380952382
0.05,noise,set_size_reduction,525,0.07847513993028248,0.020618556701030633,0.06574100901965642,0.09181392566343587,8.494366154568032e-34,7.457529955929641e-28,0.660952380952381
0.05,noise,coverage_delta,525,-0.0017216987691703958,0.0,-0.003666348282889303,0.0001980456187397704,0.002157247800691992,0.0776879766568329,0.18476190476190477
0.05,noise,abs_gap_delta,525,-0.0031878499658092893,0.0,-0.004849086930165358,-0.0015249729836054788,1.2002042571099938e-08,0.00013073843540780156,0.16952380952380952
0.05,__overall__,set_size_reduction,1575,0.09307509725971704,0.030000000000000027,0.08559202726155228,0.10065469533965737,1.304926008667024e-130,1.5161892411519529e-102,0.713015873015873
0.05,__overall__,coverage_delta,1575,-0.00531189238538531,0.0,-0.006640186827835715,-0.004036027215955735,2.2659969432298313e-28,3.890084966309586e-15,0.14476190476190476
0.05,__overall__,abs_gap_delta,1575,-0.0012126816235313983,0.0,-0.0021512752151290823,-0.00021156578217651335,1.5863876542031018e-14,0.013357100466736055,0.17523809523809525
