alpha,corruption,metric,n_pairs,mean,median,ci95_low,ci95_high,wilcoxon_p,ttest_p,positive_rate
0.05,drift,set_size_reduction,525,-0.05257604477468972,-0.028776978417266008,-0.058924638183170945,-0.046632032941449776,2.9633206564594295e-72,1.161142974507428e-50,0.030476190476190476
0.05,drift,coverage_delta,525,0.007442194525461328,0.0,0.006244808414916035,0.008741372206259703,3.3480697697204797e-43,1.14832517299668e-27,0.4990476190476191
0.05,drift,abs_gap_delta,525,-0.002279478291845054,0.0,-0.003436560277850231,-0.0011669510764589644,0.002466870506833652,7.950204235791946e-05,0.26285714285714284
0.05,gap,set_size_reduction,525,-0.041069797157342075,-0.019480519480519654,-0.047563163132071797,-0.03484231053562302,4.693620614993453e-47,3.434365725820491e-32,0.09904761904761905
0.05,gap,coverage_delta,525,0.005807987736836397,0.0,0.004720374637078228,0.007016827912205658,2.4831643069009961e-29,1.976401717687601e-21,0.4361904761904762
0.05,gap,abs_gap_delta,525,-0.0019451588050673346,0.0,-0.003108688330283934,-0.0008314330975493377,0.15598173753152852,0.000816880366493076,0.2761904761904762
0.05,noise,set_size_reduction,525,-0.036540898419122045,-0.015822784810126667,-0.04236833806797376,-0.03102713873457905,1.4438617693306332e-46,5.9438517553693326e-33,0.11238095238095239
0.05,noise,coverage_delta,525,0.005118710069978306,0.0,0.0039020612061718583,0.006390670885445832,5.539524117235012e-24,2.468392662152794e-15,0.38666666666666666
0.05,noise,abs_gap_delta,525,-0.0012925181351123973,0.0,-0.0025263529571035747,-0.0001598391506883409,0.4362956445045516,0.03290980594185493,0.25142857142857145
0.05,__overall__,set_size_reduction,1575,-0.04339558011705128,-0.021582733812949506,-0.046994470387191845,-0.039902592069499684,1.5946519184685863e-161,7.447214492182994e-111,0.08063492063492063
0.05,__overall__,coverage_delta,1575,0.006122964110758677,0.0,0.005433661930410933,0.006839545351206183,5.770521032474818e-92,2.880334383442673e-60,0.44063492063492066
0.05,__overall__,abs_gap_delta,1575,-0.0018390517440082619,0.0,-0.0025251385597603575,-0.001199906124119977,0.0021962300455307406,6.041989405137027e-08,0.2634920634920635
