alpha,corruption,metric,n_pairs,mean,median,ci95_low,ci95_high,wilcoxon_p,ttest_p,positive_rate
0.05,drift,set_size_reduction,525,0.08352396181177753,0.040789473684210265,0.07047391737741995,0.09668815651837644,1.888328366239143e-33,4.3300352836541135e-31,0.7180952380952381
0.05,drift,coverage_delta,525,-0.007288080336477602,0.0,-0.009940917790151696,-0.004871721919601754,1.912699317621097e-18,3.876342596706216e-08,0.14666666666666667
0.05,drift,abs_gap_delta,525,0.0026608249175852534,0.0,0.0009249803541028149,0.0045575847441333955,0.30957206115772284,0.004358923439296897,0.2838095238095238
0.05,gap,set_size_reduction,525,0.07014272118185735,0.02877697841726623,0.05587432031349286,0.08435811664754528,1.0955049071479292e-23,2.4363268908085397e-20,0.6723809523809524
0.05,gap,coverage_delta,525,-0.005729350016037287,0.0,-0.008190536843070516,-0.0036277956526623175,2.230572611846033e-08,1.1821502822006758e-06,0.22285714285714286
0.05,gap,abs_gap_delta,525,0.0025245671895101603,0.0,0.0010166793705189145,0.0042121328813880055,0.04856458492376772,0.0019065334996998646,0.3180952380952381
0.05,noise,set_size_reduction,525,0.046546413725956734,0.016666666666666607,0.033138956785113895,0.06032201539759095,2.1620081452841582e-12,3.386132295930884e-11,0.5866666666666667
0.05,noise,coverage_delta,525,-0.0006577852572354863,0.0,-0.0030019540141901905,0.0017693156449968212,0.004335070712384021,0.5828179847250677,0.23809523809523808
0.05,noise,abs_gap_delta,525,-0.001571237884659476,0.0,-0.003629694075343797,0.00035529066524491565,0.010864376252366869,0.12433691000210614,0.23047619047619047
0.05,__overall__,set_size_reduction,1575,0.06673769890653054,0.028205128205128105,0.05896731380519398,0.07447615038673316,4.411724085719813e-64,1.1161880995848575e-56,0.659047619047619
0.05,__overall__,coverage_delta,1575,-0.004558405203250126,0.0,-0.0059490445734524345,-0.0032267080505165645,3.35205507707461e-23,1.7965340999324267e-10,0.20253968253968255
0.05,__overall__,abs_gap_delta,1575,0.001204718074145313,0.0,0.00017931858723057494,0.002286259578798327,0.7933339109578238,0.024550516829552612,0.27746031746031746
