alpha,corruption,metric,n_pairs,mean,median,ci95_low,ci95_high,wilcoxon_p,ttest_p,positive_rate
0.05,drift,set_size_reduction,525,-0.013720215598212215,0.0,-0.051416255579285426,0.02445019196931309,0.08571595780743264,0.4773216182680156,0.43047619047619046
0.05,drift,coverage_delta,525,0.0025309780014303685,0.0,-0.0017119651950531145,0.00666846584080768,0.08622059022291878,0.23529941490847692,0.38285714285714284
0.05,drift,abs_gap_delta,525,-0.004126785951062248,0.0,-0.007779685879770504,-0.00048239460107744804,0.0003312126444504059,0.02510324205302072,0.29523809523809524
0.05,gap,set_size_reduction,525,0.4172169769184256,0.1333333333333333,0.33348186959339104,0.5026845227791508,3.016563951856163e-27,1.2968050572607147e-20,0.6666666666666666
0.05,gap,coverage_delta,525,-0.016696428576541904,-0.007194244604316613,-0.020938803368175322,-0.012318794845568725,1.1744018288341122e-14,2.8395660299850204e-13,0.23047619047619047
0.05,gap,abs_gap_delta,525,0.008198834093849205,0.0,0.0047042123851048214,0.01165274715396977,0.001069556706252221,4.074274201243559e-06,0.42857142857142855
0.05,noise,set_size_reduction,525,0.12672623244043493,0.04994192799070851,0.09060634900396397,0.165157402593413,6.205273061604228e-14,1.0897850326981829e-10,0.6247619047619047
0.05,noise,coverage_delta,525,-0.017450154042280303,0.0,-0.023865800420011588,-0.011445031708179955,1.3190002836254334e-07,5.421569612028492e-08,0.26857142857142857
0.05,noise,abs_gap_delta,525,0.007187975090535641,0.0,0.002016989788706509,0.012744122506305208,0.24188764764005322,0.009410876715673111,0.30666666666666664
0.05,__overall__,set_size_reduction,1575,0.17674099792021608,0.0320699708454808,0.1424618926922196,0.2113321750277734,1.1823648249219512e-25,3.471452266341955e-23,0.573968253968254
0.05,__overall__,coverage_delta,1575,-0.010538534872463947,0.0,-0.013448159925960662,-0.007678193930609686,6.327711381345693e-13,2.23790549449288e-12,0.293968253968254
0.05,__overall__,abs_gap_delta,1575,0.0037533410777741984,0.0,0.0014107620653049872,0.006226586444594847,0.5756568316018071,0.0028909833808738504,0.3434920634920635
