alpha,corruption,metric,n_pairs,mean,median,ci95_low,ci95_high,wilcoxon_p,ttest_p,positive_rate
0.05,drift,set_size_reduction,525,0.06241409275424741,0.013333333333333197,0.05201161218202889,0.0732917589286252,4.2519829218691385e-28,7.617918067037906e-27,0.5714285714285714
0.05,drift,coverage_delta,525,-0.0033602825592131467,0.0,-0.005915623034615895,-0.001124477090270201,0.001386974611853447,0.006952732336797729,0.2038095238095238
0.05,drift,abs_gap_delta,525,-7.052524927073707e-05,0.0,-0.001627429458982121,0.0016735766938548746,0.005042783358055017,0.934604425493388,0.2038095238095238
0.05,gap,set_size_reduction,525,0.041286424816872704,0.002915451895043608,0.029128893568630226,0.05338632622675364,2.569224424739655e-07,5.291818421759009e-11,0.5066666666666667
0.05,gap,coverage_delta,525,-0.0005865913486041115,0.0,-0.003135635220988473,0.0016832421601719663,0.1292357723697614,0.6322277146302323,0.2857142857142857
0.05,gap,abs_gap_delta,525,-0.0027080439664255384,0.0,-0.0044022405592905175,-0.0009060073482413185,1.1428417677326596e-08,0.0018088628699126862,0.16380952380952382
0.05,noise,set_size_reduction,525,0.02428706993582949,0.0,0.01328232321464607,0.035282168524374914,0.00023184143175503945,1.5971168834210498e-05,0.46285714285714286
0.05,noise,coverage_delta,525,0.0064060046617814255,0.0,0.0039098581977828825,0.009156374341445629,5.958438602175647e-06,2.508212162104674e-06,0.3047619047619048
0.05,noise,abs_gap_delta,525,-0.007233463875591073,0.0,-0.009876526511832361,-0.004969723562932429,1.858104241993944e-12,1.0772517995971427e-08,0.17523809523809525
0.05,__overall__,set_size_reduction,1575,0.0426625291689832,0.0036231884057968955,0.03612447313744524,0.048887498516342005,2.6388099423119838e-30,1.4074602582385162e-35,0.5136507936507937
0.05,__overall__,coverage_delta,1575,0.0008197102513213888,0.0,-0.000629542901837804,0.0022208100856825185,0.06634856997692828,0.2687042457423556,0.26476190476190475
0.05,__overall__,abs_gap_delta,1575,-0.0033373443637624498,0.0,-0.0044631370375464215,-0.0021879872517309236,7.655053242564103e-20,1.3827449360943286e-08,0.18095238095238095
