method,corruption,n_cells,mean_coverage,rate_below_target,rate_below_target_minus_1pp,rate_below_target_minus_2pp,p10_coverage,min_coverage
Aug SCP / FAST-CP-safe,__overall__,1575,0.950112355551962,0.32825396825396824,0.2698412698412698,0.2222222222222222,0.8776580840590685,0.4628571428571428
Aug SCP / FAST-CP-safe,drift,525,0.965073219998355,0.26095238095238094,0.18857142857142858,0.15047619047619049,0.9178082191780822,0.5314285714285715
Aug SCP / FAST-CP-safe,gap,525,0.943732143455349,0.37523809523809526,0.3352380952380952,0.2780952380952381,0.8481979808809077,0.6333333333333333
Aug SCP / FAST-CP-safe,noise,525,0.9415317032021819,0.3485714285714286,0.2857142857142857,0.23809523809523808,0.8636363636363636,0.4628571428571428
FAST-CP-efficient,__overall__,1575,0.9448004631665766,0.3904761904761905,0.3111111111111111,0.2565079365079365,0.8698934911242604,0.5028571428571429
FAST-CP-efficient,drift,525,0.9564294119291972,0.34476190476190477,0.24952380952380954,0.18857142857142858,0.9039178880945724,0.5314285714285715
FAST-CP-efficient,gap,525,0.9381619731375215,0.43238095238095237,0.36952380952380953,0.31238095238095237,0.8410638253245799,0.6333333333333333
FAST-CP-efficient,noise,525,0.9398100044330113,0.3942857142857143,0.3142857142857143,0.26857142857142857,0.8606421821305842,0.5028571428571429
Confidence-only,__overall__,1575,0.9493588683698267,0.32825396825396824,0.266031746031746,0.21206349206349207,0.8847260653016049,0.4971428571428571
Confidence-only,drift,525,0.9637174922656747,0.25333333333333335,0.18476190476190477,0.14095238095238094,0.92,0.5314285714285715
Confidence-only,gap,525,0.9438913231535586,0.3942857142857143,0.3314285714285714,0.26285714285714284,0.8522326454033771,0.6333333333333333
Confidence-only,noise,525,0.9404677896902468,0.33714285714285713,0.2819047619047619,0.23238095238095238,0.8536426116838488,0.4971428571428571
