dataset,alpha,n,set_size_win_rate,coverage_close_rate,abs_gap_win_rate,avg_set_size_candidate,avg_set_size_baseline,avg_coverage_candidate,avg_coverage_baseline
__OVERALL__,0.05,1575,0.713015873015873,0.7333333333333333,0.8247619047619048,2.3253895461309426,2.4184646433906596,0.9448004631665766,0.950112355551962
MoteStrain,0.05,45,1.0,1.0,1.0,1.6731806886758964,1.7082712105076323,0.9924210152644657,0.9933262335818246
ECGFiveDays,0.05,45,0.9555555555555556,0.8666666666666667,0.8444444444444444,1.1380823332042844,1.2352561620854305,0.9726416311782166,0.9770809136662796
BME,0.05,45,0.9555555555555556,0.5555555555555556,0.7111111111111111,1.3638518518518519,1.5666666666666667,0.9512592592592592,0.965925925925926
Beef,0.05,45,0.9333333333333333,0.6,0.9111111111111111,3.5948148148148147,3.968888888888889,0.9385185185185185,0.9540740740740742
ArrowHead,0.05,45,0.9333333333333333,0.5777777777777777,0.8222222222222222,2.4537142857142857,2.5908571428571427,0.9512380952380953,0.9622857142857143
MiddlePhalanxTW,0.05,45,0.9111111111111111,0.6222222222222222,0.8444444444444444,5.086868686868687,5.327417027417027,0.938961038961039,0.9451659451659452
FaceFour,0.05,45,0.9111111111111111,0.2222222222222222,0.6444444444444445,1.7618686868686868,1.8962121212121212,0.9338383838383838,0.9404040404040402
GunPointOldVersusYoung,0.05,45,0.8888888888888888,0.7555555555555555,0.9333333333333333,1.6055026455026453,1.7182363315696647,0.9429982363315695,0.9444797178130511
GunPointAgeSpan,0.05,45,0.8888888888888888,0.6222222222222222,0.9111111111111111,1.3566104078762307,1.511111111111111,0.9449367088607595,0.9494374120956398
Coffee,0.05,45,0.8666666666666667,0.6666666666666666,0.8222222222222222,1.3277777777777777,1.5698412698412698,0.9452380952380952,0.9634920634920636
CricketX,0.05,45,0.8666666666666667,0.9333333333333333,0.5777777777777777,4.564330484330484,4.641139601139601,0.9303703703703704,0.9316809116809117
FaceAll,0.05,45,0.8444444444444444,0.4,0.4888888888888889,1.5540696909927678,1.608560157790927,0.9072189349112427,0.9129257067718606
CricketY,0.05,45,0.8222222222222222,0.9111111111111111,0.9555555555555556,4.5962962962962965,4.751965811965812,0.9622792022792024,0.9647293447293448
DistalPhalanxTW,0.05,45,0.8,0.7555555555555555,0.8444444444444444,3.780655475619504,3.904396482813749,0.9328537170263789,0.9350919264588329
Fish,0.05,45,0.7777777777777778,0.7111111111111111,0.9555555555555556,6.185904761904761,6.432380952380952,0.9478095238095239,0.9521269841269842
CricketZ,0.05,45,0.7777777777777778,0.9333333333333333,0.7333333333333333,4.503817663817664,4.628148148148148,0.9333903133903133,0.9358404558404558
DistalPhalanxOutlineAgeGroup,0.05,45,0.7555555555555555,0.8666666666666667,0.9111111111111111,2.3764988009592325,2.3963229416466825,0.9432454036770584,0.9434052757793765
GunPoint,0.05,45,0.7555555555555555,0.8222222222222222,0.8888888888888888,1.3921481481481481,1.4835555555555557,0.9632592592592591,0.9671111111111111
MiddlePhalanxOutlineCorrect,0.05,45,0.7555555555555555,0.7555555555555555,0.8888888888888888,1.9180603283696067,1.9279114165712103,0.9737304314623904,0.9747995418098511
MiddlePhalanxOutlineAgeGroup,0.05,45,0.7333333333333333,0.6444444444444445,0.7777777777777778,2.59033189033189,2.6152958152958155,0.8995670995670996,0.9028860028860028
FacesUCR,0.05,45,0.7333333333333333,0.8,0.5777777777777777,1.8911436314363146,2.034178861788618,0.9252032520325203,0.9274254742547425
BeetleFly,0.05,45,0.7111111111111111,0.6666666666666666,0.8666666666666667,1.591111111111111,1.691111111111111,0.9577777777777778,0.9777777777777777
GunPointMaleVersusFemale,0.05,45,0.6888888888888889,0.8444444444444444,0.9777777777777777,1.1367088607594937,1.1642756680731363,0.9405063291139241,0.9377637130801688
Chinatown,0.05,45,0.6666666666666666,0.7333333333333333,0.7333333333333333,1.0340783932620667,1.0714609653385163,0.9535471331389699,0.9608033689666342
Lightning7,0.05,45,0.5777777777777777,0.8222222222222222,0.8888888888888888,3.0337899543379,3.0447488584474884,0.9382039573820395,0.939117199391172
Ham,0.05,45,0.5777777777777777,0.9111111111111111,0.7333333333333333,1.5752380952380953,1.5915343915343916,0.8973544973544973,0.9013756613756614
BirdChicken,0.05,45,0.5555555555555556,0.7555555555555555,0.8222222222222222,1.7222222222222223,1.9166666666666667,0.9388888888888889,0.9822222222222223
Herring,0.05,45,0.5333333333333333,0.6,0.8888888888888888,1.8375,1.8739583333333334,0.9395833333333333,0.9486111111111111
ECG200,0.05,45,0.4888888888888889,0.6444444444444445,0.8222222222222222,1.2755555555555556,1.282,0.9448888888888888,0.9446666666666667
CBF,0.05,45,0.4666666666666667,0.7111111111111111,0.6444444444444445,1.125358024691358,1.1140246913580247,0.9517283950617283,0.9447407407407408
MedicalImages,0.05,45,0.4444444444444444,1.0,0.8222222222222222,2.7755847953216373,2.7807894736842105,0.9337426900584795,0.9333333333333333
DistalPhalanxOutlineCorrect,0.05,45,0.4222222222222222,0.8666666666666667,0.8888888888888888,1.868196457326892,1.865619967793881,0.9648148148148148,0.9636876006441224
Meat,0.05,45,0.3333333333333333,0.8444444444444444,0.9333333333333333,2.947407407407407,3.0,0.9862962962962963,1.0
Earthquakes,0.05,45,0.3333333333333333,0.9555555555555556,0.9111111111111111,1.7520383693045565,1.7558752997601916,0.9542765787370104,0.9545963229416468
ItalyPowerDemand,0.05,45,0.28888888888888886,0.28888888888888886,0.8888888888888888,0.9983155166828637,0.9775834143181081,0.9354281395097721,0.9215419501133787
