dataset,seed,corruption,severity,alpha,fast_coverage,aug_coverage,coverage_delta,fast_set_size,aug_set_size,set_size_reduction,n_test,n_classes
Coffee,3,drift,0.4,0.05,0.6785714285714286,1.0,-0.3214285714285714,1.2857142857142858,1.6071428571428572,0.3214285714285714,28,2
BirdChicken,2,gap,0.2,0.05,0.7,1.0,-0.30000000000000004,1.3,2.0,0.7,20,2
Coffee,2,drift,0.4,0.05,0.75,1.0,-0.25,1.1785714285714286,1.4642857142857142,0.2857142857142856,28,2
BirdChicken,2,gap,0.1,0.05,0.75,1.0,-0.25,1.35,2.0,0.6499999999999999,20,2
BirdChicken,2,drift,0.4,0.05,0.75,1.0,-0.25,1.5,2.0,0.5,20,2
BirdChicken,2,noise,0.05,0.05,0.8,1.0,-0.19999999999999996,1.55,2.0,0.44999999999999996,20,2
BirdChicken,2,gap,0.05,0.05,0.8,1.0,-0.19999999999999996,1.35,2.0,0.6499999999999999,20,2
BirdChicken,2,drift,0.1,0.05,0.8,1.0,-0.19999999999999996,1.3,2.0,0.7,20,2
BirdChicken,2,drift,0.2,0.05,0.8,1.0,-0.19999999999999996,1.35,2.0,0.6499999999999999,20,2
Coffee,3,gap,0.2,0.05,0.8214285714285714,1.0,-0.1785714285714286,1.25,1.8214285714285712,0.5714285714285712,28,2
