dataset,seed,corruption,severity,alpha,method,n_train,n_calib,n_aug_calib,n_test,n_classes,coverage,avg_set_size,singleton_rate,singleton_accuracy,empty_rate,top1_accuracy,ece
ArrowHead,0,gap,0.05,0.05,clean_split_cp,23,13,130,175,3,0.9714285714285714,2.3257142857142856,0.11428571428571428,0.9,0.0,0.7428571428571429,0.14023894057503739
ArrowHead,0,gap,0.05,0.05,aug_split_cp,23,13,130,175,3,0.9942857142857143,2.7485714285714287,0.017142857142857144,0.6666666666666666,0.0,0.7428571428571429,0.14023894057503739
ArrowHead,0,gap,0.05,0.05,aps_aug_cp,23,13,130,175,3,0.9885714285714285,2.9085714285714284,0.0,0.0,0.0,0.7428571428571429,0.14023894057503739
ArrowHead,0,gap,0.05,0.05,raps_aug_cp,23,13,130,175,3,0.9885714285714285,2.9085714285714284,0.0,0.0,0.0,0.7428571428571429,0.14023894057503739
ArrowHead,0,gap,0.05,0.05,mondrian_corruption_cp,23,13,130,175,3,0.9828571428571429,2.5542857142857143,0.045714285714285714,0.75,0.0,0.7428571428571429,0.14023894057503739
ArrowHead,0,gap,0.05,0.05,label_smooth_aug_cp,23,13,130,175,3,0.9942857142857143,2.7485714285714287,0.017142857142857144,0.6666666666666666,0.0,0.7428571428571429,0.14023894057503739
ArrowHead,0,gap,0.05,0.05,confidence_weighted_cp,23,13,130,175,3,0.9828571428571429,2.645714285714286,0.017142857142857144,0.6666666666666666,0.0,0.7428571428571429,0.14023894057503739
ArrowHead,0,gap,0.05,0.05,fast_cp,23,13,130,175,3,0.9771428571428571,2.4914285714285715,0.05714285714285714,0.8,0.0,0.7428571428571429,0.14023894057503739
ArrowHead,0,gap,0.05,0.05,fast_cp_mixed,23,13,130,175,3,0.9828571428571429,2.5428571428571427,0.045714285714285714,0.75,0.0,0.7428571428571429,0.14023894057503739
ArrowHead,0,gap,0.05,0.05,fast_cp_mixed_input_only,23,13,130,175,3,0.9828571428571429,2.4914285714285715,0.06285714285714286,0.8181818181818182,0.0,0.7428571428571429,0.14023894057503739
