dataset,n_train,n_test,n_total,length,n_classes,selected,reason
ACSF1,100,100,200,1460,10,False,too_long
Adiac,390,391,781,176,37,False,too_many_classes
ArrowHead,36,175,211,251,3,True,selected
Beef,30,30,60,470,5,True,selected
BeetleFly,20,20,40,512,2,True,selected
BirdChicken,20,20,40,512,2,True,selected
BME,30,150,180,128,3,True,selected
Car,60,60,120,577,4,False,too_long
CBF,30,900,930,128,3,True,selected
Chinatown,20,343,363,24,2,True,selected
ChlorineConcentration,467,3840,4307,166,3,False,too_many_examples
Coffee,28,28,56,286,2,True,selected
Computers,250,250,500,720,2,False,too_long
CricketX,390,390,780,300,12,True,selected
CricketY,390,390,780,300,12,True,selected
CricketZ,390,390,780,300,12,True,selected
DiatomSizeReduction,16,306,322,345,4,True,selected
DistalPhalanxOutlineAgeGroup,400,139,539,80,3,True,selected
DistalPhalanxOutlineCorrect,600,276,876,80,2,True,selected
DistalPhalanxTW,400,139,539,80,6,True,selected
Earthquakes,322,139,461,512,2,True,selected
ECG200,100,100,200,96,2,True,selected
ECG5000,500,4500,5000,140,5,False,too_many_examples
ECGFiveDays,23,861,884,136,2,True,selected
FaceAll,560,1690,2250,131,14,True,selected
FaceFour,24,88,112,350,4,True,selected
FacesUCR,200,2050,2250,131,14,True,selected
FiftyWords,450,455,905,270,50,False,too_many_classes
Fish,175,175,350,463,7,True,selected
GunPoint,50,150,200,150,2,True,selected
GunPointAgeSpan,135,316,451,150,2,True,selected
GunPointMaleVersusFemale,135,316,451,150,2,True,selected
GunPointOldVersusYoung,136,315,451,150,2,True,selected
Ham,109,105,214,431,2,True,selected
Herring,64,64,128,512,2,True,selected
InsectEPGRegularTrain,62,249,311,601,3,False,too_long
InsectEPGSmallTrain,17,249,266,601,3,False,too_long
ItalyPowerDemand,67,1029,1096,24,2,True,selected
Lightning2,60,61,121,637,2,False,too_long
Lightning7,70,73,143,319,7,True,selected
Meat,60,60,120,448,3,True,selected
MedicalImages,381,760,1141,99,10,True,selected
MiddlePhalanxOutlineAgeGroup,400,154,554,80,3,True,selected
MiddlePhalanxOutlineCorrect,600,291,891,80,2,True,selected
MiddlePhalanxTW,399,154,553,80,6,True,selected
MoteStrain,20,1252,1272,84,2,False,target_count_reached
OliveOil,30,30,60,570,4,False,too_long
OSULeaf,200,242,442,427,6,False,target_count_reached
Plane,105,105,210,144,7,False,target_count_reached
ProximalPhalanxOutlineAgeGroup,400,205,605,80,3,False,target_count_reached
ProximalPhalanxOutlineCorrect,600,291,891,80,2,False,target_count_reached
ProximalPhalanxTW,400,205,605,80,6,False,target_count_reached
ShapeletSim,20,180,200,500,2,False,target_count_reached
SonyAIBORobotSurface1,20,601,621,70,2,False,target_count_reached
SonyAIBORobotSurface2,27,953,980,65,2,False,target_count_reached
Strawberry,613,370,983,235,2,False,target_count_reached
SwedishLeaf,500,625,1125,128,15,False,target_count_reached
Symbols,25,995,1020,398,6,False,target_count_reached
SyntheticControl,300,300,600,60,6,False,target_count_reached
ToeSegmentation1,40,228,268,277,2,False,target_count_reached
ToeSegmentation2,36,130,166,343,2,False,target_count_reached
Trace,100,100,200,275,4,False,target_count_reached
TwoLeadECG,23,1139,1162,82,2,False,target_count_reached
UMD,36,144,180,150,3,False,target_count_reached
Wine,57,54,111,234,2,False,target_count_reached
WordSynonyms,267,638,905,270,25,False,too_many_classes
