method,alpha,corruption,coverage,avg_set_size,abs_gap,n_cells
aug_split_cp,0.05,drift,0.9518607979960636,1.5247539810341744,0.032492395777419934,27
clean_split_cp,0.05,drift,0.9535560923242082,1.8011719448917516,0.04059312936124531,27
fast_cp_mixed,0.05,drift,0.9499463231347289,1.4806763285024156,0.03345857935229917,27
fast_cp_mixed_confidence_only,0.05,drift,0.9504830917874396,1.5061281087851137,0.03143675076042226,27
fast_cp_mixed_input_only,0.05,drift,0.9488727858293076,1.4735373054213634,0.03392377885131509,27
fast_cp_mixed_random_fingerprint,0.05,drift,0.9486893898729647,1.49941850062623,0.032326892109500814,27
aug_split_cp,0.05,gap,0.9478797638217927,1.6494498121309715,0.031821434961531586,27
clean_split_cp,0.05,gap,0.9505814993737699,1.882210592234747,0.041715870459831814,27
fast_cp_mixed,0.05,gap,0.9491143317230274,1.5967346573626768,0.03429057076400072,27
fast_cp_mixed_confidence_only,0.05,gap,0.9494855967078188,1.6229871175523352,0.034822866344605484,27
fast_cp_mixed_input_only,0.05,gap,0.9467883342279477,1.5873769905170871,0.03242977276793702,27
fast_cp_mixed_random_fingerprint,0.05,gap,0.9469314725353373,1.618312757201646,0.03174986580783682,27
aug_split_cp,0.05,noise,0.9658167829665414,1.58329307568438,0.023313651816067284,27
clean_split_cp,0.05,noise,0.9683306494900698,1.851028806584362,0.0306226516371444,27
fast_cp_mixed,0.05,noise,0.9639023081052066,1.529079441760601,0.0234567901234568,27
fast_cp_mixed_confidence_only,0.05,noise,0.9661030595813204,1.5673152621220254,0.024709250313115053,27
fast_cp_mixed_input_only,0.05,noise,0.9634281624619788,1.5167248166040437,0.023394167113973886,27
fast_cp_mixed_random_fingerprint,0.05,noise,0.9643138307389515,1.548787797459295,0.023045267489711942,27
